State,Education Budget,2001 Rate,Rank ,Labor Force,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household
Alabama,1205096441.0,5.3,38,2148000,4452173,161372.4167,411292.0833,364735790,73.9004,188.351
Alaska,227988480.0,6.3,48,322000,627963,13184.3333,37897.4167,46477327,102.1999,293.7661
Arizona,1990909460.0,4.7,27,2420000,5160586,107797.5833,291368.75,280402760,80.197,216.7664
Arkansas,618218324.0,5.1,37,1227000,2678588,102633.0,256978.4167,223351249,72.4287,181.3511
California,7895473833.0,5.3,38,17362000,33987977,624806.4167,1673364.667,1583142951,78.8403,211.1511
Colorado,1061188114.0,3.7,10,2295000,4326921,69408.25,153951.8333,130771498,70.7859,157.0076
Connecticut,703315579.0,3.3,3,1718000,3411777,81857.0,157030.9167,135682522,72.0041,138.1296
Delaware,187754734.0,3.5,6,419000,786373,13602.25,31885.9167,31926772,83.4401,195.5974
Florida,3622745422.0,4.8,31,7674000,16047515,425954.9167,887255.8333,770726070,72.3886,150.784
Georgia,1973334617.0,4.0,15,4132000,8227303,235633.4167,573537.25,515153023,74.8503,182.1873
Hawaii,229367192.0,4.6,24,606000,1213519,50983.25,108312.5833,149759152,115.2214,244.7849
Idaho,317431995.0,5.0,36,682000,1299430,24033.9167,59666.6667,47224586,65.9561,163.7429
Illinois,3128505463.0,5.4,42,6349000,12434161,363570.25,825295.4167,810104429,81.7994,185.6827
Indiana,1565548276.0,4.4,21,3106000,6091866,146562.5833,346681.4167,317040579,76.2084,180.2646
Iowa,901029813.0,3.3,3,1588000,2929067,54436.6667,126493.5833,107294570,70.6851,164.2498
Kansas,714466440.0,4.3,19,1381000,2693681,56499.5833,124285.1667,91979416,61.6723,135.6639
Kentucky,949124657.0,5.5,44,1968000,4049021,173101.5,412680.0833,350489629,70.7751,168.7303
Louisiana,1336661483.0,6.0,47,2050000,4471885,198247.5833,518383.9167,482656653,77.59,202.8846
Maine,327987375.0,4.0,15,684000,1277072,53150.5833,104382.5833,86333390,68.9238,135.3597
Maryland,1094203563.0,4.1,17,2837000,5311034,97025.6667,208425.8333,190820637,76.2944,163.8919
Massachusetts,1908834439.0,3.7,10,3284000,6361104,104837.8333,219223.4167,172989318,65.7584,137.5055
Michigan,2438946185.0,5.3,38,5175000,9952450,285277.25,641268.5,504149597,65.5146,147.2689
Minnesota,1266655860.0,3.7,10,2814000,4933692,93086.3333,197726.75,172484759,72.6949,154.4129
Mississippi,810714107.0,5.5,44,1296000,2848353,115993.5833,297805.4167,254370944,71.1793,182.7479
Missouri,1593065077.0,3.1,2,928000,5607285,195479.5833,454426.5833,394611312,72.3643,168.2236
Montana,298360532.0,4.6,24,465000,903773,26481.0,61957.25,53846673,72.4245,169.4507
Nebraska,498722144.0,4.7,27,2970000,1713820,34729.25,80651.9167,62711292,64.7962,150.4766
Nevada,259985925.0,5.3,38,1023000,2018741,32102.25,69825.0,65330055,77.9688,169.5885
New Hampshire,326084388.0,3.5,6,689000,1239882,17950.6667,35554.25,28051307,65.7477,130.2241
New Jersey,1568266890.0,4.2,18,4179000,8430621,144067.25,317578.5833,292111168,76.6506,168.9669
New Mexico,530066506.0,4.8,31,838000,1821204,62483.9167,163244.5833,136264416,69.5605,181.7327
New York,6011667167.0,4.9,33,8832000,19001780,683968.5833,1353542.25,1365352668,84.0605,166.3518
North Carolina,1641764159.0,5.5,44,3995000,8081614,213419.8333,493672.4167,424834876,71.7134,165.8839
North Dakota,258845309.0,2.8,1,339000,642023,15921.25,37754.75,27125809,59.8728,141.9791
Ohio,2954518787.0,4.3,19,5857000,11363543,292222.3333,640504.75,572859721,74.5323,163.363
Oklahoma,961098433.0,3.8,13,1665000,3454365,113373.9167,271001.1667,236102011,72.6018,173.5423
Oregon,911681573.0,6.3,48,1794000,3429708,137199.0,283704.75,239553778,70.3648,145.5026
Pennsylvania,3795993993.0,4.7,27,6073000,12284173,342814.0,748074.25,639175011,71.2023,155.3746
Rhode Island,401957614.0,4.7,27,504000,1050268,32632.0,71272.1667,59063899,69.0591,150.8333
South Carolina,922375423.0,5.4,42,1949000,4024223,130054.5,315717.5833,269270452,71.0737,172.5369
South Dakota,296723889.0,3.3,3,405000,755844,17159.6667,44594.0833,39348630,73.5311,191.0907
Tennessee,1326565262.0,4.5,23,2818000,5703719,226224.0833,521510.25,454423658,72.6134,167.3944
Texas,4760220857.0,4.9,33,10463000,20944499,500128.5,1360642.0,1269894097,77.7754,211.5946
Utah,510599570.0,4.4,21,1115000,2244502,32647.0,79716.25,66826668,69.8589,170.5789
Vermont,253879970.0,3.6,9,335000,609618,19090.3333,38873.8333,31103256,66.6756,135.7723
Virginia,1564714192.0,3.5,6,3675000,7105817,149417.3333,331688.25,263295483,66.1503,146.8457
Washington,1253035444.0,6.4,50,2996000,5910512,141386.6667,308588.5833,260877515,70.4491,153.7613
West Virginia,520774265.0,4.9,33,833000,1807021,94793.75,221360.5833,178432049,67.1725,156.8599
Wisconsin,1205201789.0,4.6,24,2991000,5373999,86588.3333,215786.0,152453480,58.8753,146.7225
Wyoming,152676575.0,3.9,14,271000,494300,9129.25,22538.75,19258510,71.2052,175.7949
