State,2006 Rate,Rank ,Labor Force
Hawaii,2.4,1,643000
Utah,2.9,2,1311000
Missouri,3,3,974000
Virginia,3,3,3999000
North Dakota,3.2,5,358000
South Dakota,3.2,5,431000
Montana,3.2,5,494000
Wyoming,3.2,5,285000
Florida,3.3,9,8989000
New Hampshire,3.4,10,737000
Idaho,3.4,10,749000
Vermont,3.6,12,361000
Delaware,3.6,12,440000
Alabama,3.6,12,2200000
Iowa,3.7,15,1664000
Maryland,3.9,16,3009000
Minnesota,4,17,2939000
Louisiana,4,17,1990000
Oklahoma,4,17,1720000
Arizona,4.1,20,2977000
Nevada,4.2,21,1295000
New Mexico,4.2,21,935000
Connecticut,4.3,23,1844000
Colorado,4.3,23,2652000
New York,4.5,25,9499000
Illinois,4.5,25,6613000
Kansas,4.5,25,1466000
Maine,4.6,28,711000
New Jersey,4.6,28,4518000
Georgia,4.6,28,4742000
Pennsylvania,4.7,31,6306000
Wisconsin,4.7,31,3063000
Nebraska,4.8,33,3032000
North Carolina,4.8,33,4465000
West Virginia,4.9,35,807000
Texas,4.9,35,11487000
California,4.9,35,17902000
Massachusetts,5,38,3404000
Indiana,5,38,3271000
Washington,5,38,3327000
Rhode Island,5.1,41,577000
Tennessee,5.2,42,2990000
Arkansas,5.3,43,1365000
Oregon,5.4,44,1899000
Ohio,5.5,45,5934000
Kentucky,5.7,46,2039000
"Washington, D.C.",6,47,316000
South Carolina,6.5,48,2126000
Alaska,6.7,49,347000
Mississippi,6.8,50,1307000
Michigan,6.9,51,5081000
