State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Median Income,Year,Unnamed: 0,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
Alabama,1774144162.0,3.5,4628981,220917.1667,545955.0,601413135,91.7983,226.8622,42212,2007,0,21.0,1.51,30.0,2021.7
Alaska,305996183.9,6.2,675302,21317.8333,56181.0833,86084132,127.6885,336.5106,82515,2007,1,27.0,1.12,3.4,305.7
Arizona,5864572510.0,3.8,6029141,222303.6667,544688.4167,646750299,98.9481,242.4425,61848,2007,2,11.0,2.24,59.0,2692.3
Arkansas,988744640.8,5.4,2821761,158086.5833,379768.25,412445881,90.5039,217.4156,53438,2007,3,33.0,0.8,9.6,1206.8
California,11912567291.0,5.4,36021202,827257.6667,2048185.333,2569814590,104.5566,258.8688,73007,2007,4,23.0,1.34,203.5,15433.1
Colorado,2029026695.0,3.8,4720423,106898.8333,250703.9167,310583982,103.2373,242.1168,80089,2007,5,10.0,2.28,51.4,2305.4
Connecticut,1081503459.0,4.6,3517460,113186.9167,212562.25,253062794,99.2112,186.3163,84019,2007,6,37.0,0.72,12.0,1680.5
Delaware,325591740.1,3.4,859268,29116.0833,67184.5,74729045,92.6913,213.8825,71507,2007,7,46.0,0.07,0.3,432.7
Florida,6267422115.0,4.0,18166990,627987.1667,1232803.417,1400153858,94.6457,185.7992,59986,2007,8,24.0,1.3,104.5,8125.6
Georgia,3511477352.0,4.4,9155813,387254.3333,950038.4167,1125954322,98.7639,242.2943,63716,2007,9,18.0,1.8,73.3,4151.6
Hawaii,342789117.6,2.6,1309731,45380.1667,89628.8333,156542027,145.5466,287.4641,83863,2007,10,17.0,1.8,11.1,627.2
Idaho,484532926.0,2.7,1468669,35989.75,87067.6667,95992768,91.8756,222.2688,49184,2007,11,6.0,3.13,19.5,642.1
Illinois,5255753298.0,5.0,12643955,569073.0,1246399.75,1565198255,104.648,229.2029,68778,2007,12,31.0,0.98,57.0,5902.9
Indiana,2486601474.0,4.5,6332669,253839.5,587156.4167,677097583,96.0984,222.2853,62159,2007,13,43.0,0.26,7.8,2970.7
Iowa,1960014304.0,3.8,2982644,108165.8333,238349.0,265450404,92.8087,204.5088,64065,2007,14,34.0,0.77,11.5,1496.3
Kansas,1038701562.0,4.1,2762931,82880.75,182406.6667,192850959,88.1049,193.9041,63527,2007,15,14.0,2.01,27.1,1374.6
Kentucky,1624990570.0,5.5,4219239,266672.5,602021.5,674261809,93.333,210.7022,51679,2007,16,35.0,0.76,13.9,1839.9
Louisiana,1671183286.0,3.8,4302665,266075.25,650356.5833,746127346,95.6049,233.6831,41313,2007,17,3.0,4.13,76.0,1918.0
Maine,447461242.2,4.7,1323619,81767.0833,162601.75,170581745,87.4231,173.8492,47894,2007,18,42.0,0.5,3.0,599.1
Maryland,1707514009.0,3.6,5627367,147191.1667,317825.0833,357244132,93.669,202.2563,85970,2007,19,36.0,0.76,19.5,2590.9
Massachusetts,2791876591.0,4.5,6410084,239802.1667,456191.6667,471901175,86.203,163.9898,76582,2007,20,29.0,1.07,34.5,3244.7
Michigan,4194823730.0,7.2,10036081,555744.3333,1204409.167,1367629622,94.6266,205.0748,64670,2007,21,50.0,-1.62,-69.8,4235.4
Minnesota,2720416368.0,4.6,5163555,131764.25,276413.6667,296387269,89.355,187.448,76051,2007,22,45.0,0.23,6.2,2719.6
Mississippi,1235401454.0,6.3,2904978,178775.0,426115.5,443797523,86.7913,206.8697,48832,2007,23,32.0,0.97,11.1,1150.1
Missouri,2510828590.0,3.0,5842704,299509.0833,671397.0,745311957,92.5076,207.3704,60263,2007,24,26.0,1.13,31.3,2798.9
Montana,377637340.9,3.1,952692,34829.8333,79968.5,89698694,93.4729,214.6117,43655,2007,25,7.0,2.95,12.5,435.7
Nebraska,750456923.2,5.0,1772693,51845.3333,120634.3333,126459764,87.3575,203.2645,64414,2007,26,25.0,1.23,11.5,946.3
Nevada,548856690.7,4.8,2522658,57023.0833,122224.4167,133739897,91.1847,195.447,54058,2007,27,19.0,1.79,22.7,1290.8
New Hampshire,479709023.6,3.6,1308389,28851.5833,59100.5,62477686,88.0953,180.4571,88519,2007,28,30.0,0.98,6.2,637.0
New Jersey,2302794768.0,4.2,8661679,198725.25,414502.5833,483425319,97.1898,202.7193,79260,2007,29,47.0,-0.07,-2.9,4026.4
New Mexico,737216000.3,3.5,1962137,92093.1667,233917.9167,248844870,88.6511,225.1749,58103,2007,30,16.0,1.81,15.0,841.6
New York,8514733210.0,4.5,19104631,951632.75,1801984.167,2324294916,107.4878,203.5357,64112,2007,31,22.0,1.36,115.8,8613.2
North Carolina,2712595650.0,4.7,8917270,391018.6667,882946.0,972290890,91.7658,207.2132,56998,2007,32,4.0,3.63,144.0,4111.6
North Dakota,338478195.3,3.2,649422,20394.75,45122.3333,51891080,95.8341,212.0279,61835,2007,33,20.0,1.64,5.7,352.9
Ohio,4439000194.0,5.6,11481213,492810.75,1076763.75,1292695103,100.0448,218.5922,64315,2007,34,49.0,-0.4,-21.7,5367.8
Oklahoma,1369915637.0,4.3,3594090,176290.0,421315.9167,458907034,90.7686,216.9281,56609,2007,35,15.0,1.99,31.0,1590.6
Oregon,1372901433.0,5.2,3670883,226435.25,438498.4167,477442080,90.7343,175.7096,65805,2007,36,9.0,2.4,40.3,1720.6
Pennsylvania,5586045205.0,4.4,12510809,530243.0833,1135145.667,1258604269,92.3967,197.803,63448,2007,37,38.0,0.72,40.8,5742.6
Rhode Island,607021205.3,5.0,1063096,36645.0833,76315.0,89354659,97.5722,203.1984,71010,2007,38,41.0,0.51,2.5,488.7
South Carolina,1486225056.0,5.9,4357847,233294.8333,545293.0833,618164263,94.4697,220.8094,57915,2007,39,12.0,2.22,42.1,1938.3
South Dakota,401770417.2,3.0,783033,24754.0833,60246.1667,70614077,97.6744,237.7186,60804,2007,40,13.0,2.14,8.3,396.3
Tennessee,2132145240.0,4.7,6088766,387440.9167,864870.4167,1003609007,96.7013,215.8628,41195,2007,41,39.0,0.68,18.7,2786.7
Texas,7953251577.0,4.3,23359580,947235.25,2422198.333,2718158343,93.5155,239.1309,60325,2007,42,5.0,3.28,328.2,10342.7
Utah,807844964.9,2.7,2525507,50783.9167,123475.3333,133204438,89.8995,218.5804,70118,2007,43,2.0,4.74,56.0,1238.5
Vermont,382073088.0,3.9,622892,26045.5833,52612.0,55659902,88.161,178.0849,62077,2007,44,44.0,0.26,0.8,308.5
Virginia,2668430091.0,3.0,7673725,230280.6667,515032.3333,551446240,89.2252,199.5558,77496,2007,45,28.0,1.08,40.0,3739.1
Washington,1775557207.0,4.5,6370753,272604.5,536332.8333,600647715,93.3263,183.6139,58080,2007,46,8.0,2.61,74.4,2927.4
West Virginia,813660993.2,4.6,1827912,120134.5833,269343.25,274884537,85.0478,190.6782,55136,2007,47,48.0,-0.25,-1.8,716.3
Wisconsin,1867581068.0,4.9,5577655,162092.0,382769.9167,363438137,79.1246,186.8477,67168,2007,48,40.0,0.61,17.0,2821.8
Wyoming,218406197.3,3.0,522667,9498.5,22607.75,25284892,93.2014,221.8323,63850,2007,49,1.0,4.93,13.2,281.1
