State,2010 Rate,Rank ,Labor Force
North Dakota,3.9,1,370000
Missouri,4.7,2,977000
South Dakota,4.8,3,444000
New Hampshire,6.1,4,744000
Iowa,6.1,4,1671000
Vermont,6.2,6,361000
Hawaii,6.6,7,629000
Virginia,6.9,8,4185000
Kansas,7,9,1502000
Wyoming,7,9,294000
Oklahoma,7.1,11,1755000
Montana,7.2,12,497000
Minnesota,7.3,13,2963000
Maryland,7.5,14,2981000
Louisiana,7.5,14,2082000
Utah,7.7,16,1368000
Maine,7.9,17,697000
Arkansas,7.9,17,1353000
Alaska,8,19,361000
Texas,8.2,20,12136000
Wisconsin,8.3,21,3063000
New Mexico,8.4,22,953000
Massachusetts,8.5,23,3494000
Delaware,8.5,23,426000
New York,8.6,25,9631000
Pennsylvania,8.7,26,6340000
Colorado,8.9,27,2687000
Connecticut,9.1,28,1897000
West Virginia,9.1,28,782000
Idaho,9.3,30,758000
New Jersey,9.5,31,4502000
Alabama,9.5,31,2127000
Nebraska,9.6,33,3014000
Washington,9.6,33,3532000
Tennessee,9.7,35,3057000
"Washington, D.C.",9.9,36,334000
Arizona,10,37,3176000
Ohio,10.1,38,5898000
Indiana,10.2,39,3142000
Georgia,10.2,39,4694000
Illinois,10.3,41,6646000
Mississippi,10.4,42,1313000
Kentucky,10.5,43,2084000
North Carolina,10.6,44,4513000
Oregon,10.8,45,1985000
South Carolina,11.2,46,2165000
Florida,11.5,47,9224000
Rhode Island,11.6,48,576000
California,12.4,49,18176000
Michigan,12.5,50,4790000
Nevada,14.9,51,1350000
