State,Education Budget,2012 Rate,Rank,Labor Force,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household
Alabama,2845439867.29,7.3,26,2156000,4815588,411745.0833,910243.8333,1390011732.0,127.2564,281.3253
Alaska,450029057.04,7.0,22,366000,730443,37951.6667,91297.6667,186325119.0,170.0711,409.1281
Arizona,8048923633.05,8.3,35,3030000,6554978,484905.5,1123974.333,1706601437.0,126.5303,293.2876
Arkansas,1423079498.21,7.3,26,1356000,2952164,220095.0,502124.75,733396874.0,121.7156,277.6819
California,17137797045.49,10.5,50,18495000,37948800,1779240.833,3964220.583,7090221357.0,149.0461,332.0808
Colorado,3115254276.01,8.0,31,2743000,5192647,220707.3333,491629.6667,808505391.0,137.0451,305.2706
Connecticut,1673334566.47,8.4,36,1879000,3594547,219816.8333,403466.4167,696670564.0,143.8927,264.1103
Delaware,441221808.36,7.1,23,444000,915179,69564.1667,148257.0833,226577031.0,127.3559,271.4245
Florida,10068816174.38,8.6,39,9369000,19297822,1825813.417,3353064.083,5592221094.0,138.9829,255.2388
Georgia,5345661550.86,9.0,43,4806000,9901430,879493.25,1912838.75,3119435907.0,135.8991,295.5713
Hawaii,520633695.87,5.8,12,652000,1394804,88454.6667,176822.5833,453331174.0,213.6469,427.0843
Idaho,792912554.73,7.1,23,773000,1595324,100495.1667,233033.8333,361230209.0,129.1766,299.5419
Illinois,8392571592.13,8.9,41,6593000,12882510,914286.5833,1869712.833,3128689275.0,139.4461,285.1667
Indiana,4437755509.99,8.4,36,3150000,6537703,401414.5833,908704.5,1444409807.0,132.4605,299.8583
Iowa,3683401846.64,5.2,5,1639000,3076190,190720.5833,408049.5,593443715.0,121.1952,259.2989
Kansas,635906241.0,5.7,10,1489000,2885257,143241.5,304719.4167,457478972.0,125.1093,266.1467
Kentucky,2440632217.1,8.2,33,2075000,4386346,402733.6667,849247.6667,1298611475.0,127.4276,268.7077
Louisiana,2220360080.6,6.4,15,2084000,4600972,422679.5833,948758.25,1549558693.0,136.1041,305.503
Maine,679890129.94,7.3,26,706000,1327729,131153.3333,252860.0,376750999.0,124.1632,239.3833
Maryland,2581653431.59,6.8,17,3123000,5886992,360523.0,716379.1667,1104337614.0,128.4629,255.2629
Massachusetts,3980866176.31,6.7,16,3475000,6663005,479829.75,861568.25,1369997551.0,132.5101,237.9312
Michigan,5768368134.2,9.1,44,4657000,9897145,924643.25,1828384.25,2980301907.0,135.835,268.5993
Minnesota,4392252001.96,5.6,9,2969000,5376643,264738.9167,538868.8333,749536081.0,115.912,235.9356
Mississippi,1601233891.67,9.2,46,1333000,2983816,296507.5833,659872.25,980027716.0,123.7648,275.4364
Missouri,3650429996.37,3.9,2,1021000,6024367,441625.9167,947888.5833,1462076136.0,128.538,275.8889
Montana,526241070.72,6.0,14,508000,1003783,58987.6667,125873.6667,193011254.0,127.7811,272.6718
Nebraska,1105802556.2,6.9,19,2993000,1853303,77066.25,176073.1667,258674634.0,122.4276,279.7102
Nevada,834065970.57,11.1,51,1379000,2743996,169147.0833,354899.75,525318612.0,123.3491,258.8076
New Hampshire,797839221.04,5.5,8,742000,1324232,56354.3333,116894.5833,166472605.0,118.6772,246.1695
New Jersey,3410837408.92,9.5,47,4595000,8844942,406142.5,826133.5833,1321101694.0,133.2615,271.0669
New Mexico,1049024111.6,6.9,19,936000,2087309,193521.5833,438251.75,674066965.0,128.1735,290.2635
New York,11550565473.69,8.5,38,9587000,19572932,1650098.667,3076911.417,5444101662.0,147.445,274.9382
North Carolina,4427093117.39,9.5,47,4723000,9749476,785071.9167,1668588.167,2430133033.0,121.3667,257.9523
North Dakota,411803268.26,3.1,1,392000,701176,27268.5,58796.3333,90677717.0,128.5195,277.1138
Ohio,6821621422.37,7.2,25,5748000,11548923,873827.75,1807912.667,3006931315.0,138.6005,286.7586
Oklahoma,1856728667.17,5.2,5,1803000,3818814,279648.8333,614947.0833,947199555.0,128.3579,282.2586
Oregon,2473095210.8,8.7,40,1963000,3899001,447337.8333,815221.3333,1253656139.0,128.1509,233.5402
Pennsylvania,8053091861.34,7.9,30,6487000,12767118,869157.1667,1799208.5,2772898224.0,128.4314,265.8608
Rhode Island,787188502.17,10.4,49,560000,1054621,95281.8333,172845.75,289245852.0,139.4528,252.9739
South Carolina,2360877062.73,9.1,44,2167000,4717354,410490.8333,869800.5833,1371335000.0,131.384,278.3933
South Dakota,639611810.13,4.4,3,446000,833566,45110.75,103845.8333,165488630.0,132.7999,305.708
Tennessee,3230108526.01,8.0,31,3114000,6453898,641210.5,1316810.25,2089053032.0,132.2041,271.4986
Texas,11391471500.43,6.8,17,12597000,26084481,1666361.75,4038440.167,6006734649.0,123.9491,300.3917
Utah,1693986698.51,5.7,10,1354000,2853375,113253.75,276890.0,404542100.0,121.7517,297.6664
Vermont,488598108.44,5.0,4,356000,626090,49349.75,96579.4167,141255732.0,121.8822,238.5283
Virginia,4451067362.32,5.9,13,4210000,8185080,439924.0,913877.6667,1403720773.0,128.0004,265.9021
Washington,2629058548.84,8.2,33,3481000,6897058,580210.5,1108089.667,1684648246.0,126.6931,241.9593
West Virginia,1360174319.01,7.3,26,805000,1856872,164033.9167,346832.5,500402535.0,120.2316,254.217
Wisconsin,2786588957.64,6.9,19,3052000,5719960,398965.5,835312.3333,1167767096.0,116.5,243.9156
Wyoming,248121510.39,5.4,7,306000,576305,14946.5,34346.9167,51769558.0,125.6046,288.6381
