,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,46.0,0.82,15.4,1901.6
1,Alaska,15.0,2.05,6.5,322.9
2,Arizona,13.0,2.12,51.3,2466.2
3,Arkansas,34.0,1.34,15.6,1177.7
4,California,16.0,1.99,285.3,14625.3
5,Colorado,7.0,2.4,53.5,2281.2
6,Connecticut,36.0,1.32,21.2,1632.4
7,Delaware,49.0,0.19,0.8,412.6
8,Florida,22.0,1.84,134.2,7408.0
9,Georgia,42.0,1.15,44.5,3921.3
10,Hawaii,40.0,1.19,7.1,604.1
11,Idaho,12.0,2.17,12.9,607.7
12,Illinois,29.0,1.57,87.5,5678.3
13,Indiana,9.0,2.34,65.7,2873.3
14,Iowa,18.0,1.92,28.0,1488.9
15,Kansas,25.0,1.82,24.2,1351.9
16,Kentucky,23.0,1.83,32.3,1794.5
17,Louisiana,41.0,1.16,22.1,1923.3
18,Maine,48.0,0.59,3.4,578.7
19,Maryland,35.0,1.32,33.3,2556.1
20,Massachusetts,21.0,1.88,60.1,3253.9
21,Michigan,4.0,2.64,102.5,3981.1
22,Minnesota,20.0,1.9,49.7,2668.8
23,Mississippi,44.0,0.86,9.4,1103.6
24,Missouri,47.0,0.8,21.4,2681.0
25,Montana,19.0,1.91,8.0,427.8
26,Nebraska,17.0,1.97,18.5,957.6
27,Nevada,31.0,1.44,16.1,1130.9
28,New Hampshire,45.0,0.86,5.3,623.4
29,New Jersey,32.0,1.44,54.7,3846.3
30,New Mexico,50.0,0.11,0.9,799.4
31,New York,24.0,1.83,157.0,8727.3
32,North Carolina,27.0,1.7,66.2,3957.1
33,North Dakota,1.0,8.74,33.5,416.9
34,Ohio,10.0,2.28,114.3,5129.7
35,Oklahoma,6.0,2.43,38.1,1602.8
36,Oregon,43.0,1.06,17.1,1623.9
37,Pennsylvania,38.0,1.25,70.5,5701.8
38,Rhode Island,33.0,1.41,6.4,461.0
39,South Carolina,26.0,1.77,32.2,1851.7
40,South Dakota,14.0,2.07,8.2,404.7
41,Tennessee,5.0,2.57,67.8,2702.6
42,Texas,3.0,2.68,282.3,10804.3
43,Utah,2.0,3.25,38.7,1229.3
44,Vermont,28.0,1.7,5.1,305.2
45,Virginia,37.0,1.3,47.6,3704.1
46,Washington,30.0,1.56,44.3,2876.3
47,West Virginia,11.0,2.21,15.7,726.9
48,Wisconsin,39.0,1.22,32.9,2732.6
49,Wyoming,8.0,2.36,6.6,286.7
50,United States,,1.89,2472.0,132954.0
