state,2014 rate,rank,labor force
North Dakota,2.8,1,416000
Nebraska,3.3,2,1022000
South Dakota,3.4,3,448000
Utah,3.8,4,1431000
Minnesota,4.1,5,2974000
Vermont,4.1,5,349000
New Hampshire,4.3,7,741000
Wyoming,4.3,7,307000
Hawaii,4.4,9,668000
Iowa,4.4,9,1705000
Kansas,4.5,11,1500000
Oklahoma,4.5,11,1784000
Montana,4.7,13,516000
Idaho,4.8,14,777000
Colorado,5,15,2817000
Texas,5.1,16,13112000
Virginia,5.2,17,4261000
Wisconsin,5.5,18,3094000
Delaware,5.7,19,452000
Maine,5.7,19,699000
Ohio,5.7,19,5719000
Maryland,5.8,22,3111000
Massachusetts,5.8,22,3557000
Pennsylvania,5.8,22,6378000
Indiana,6,25,3231000
Arkansas,6.1,26,1301000
Missouri,6.1,26,3058000
North Carolina,6.1,26,4656000
Washington,6.2,29,3488000
Florida,6.3,30,9638000
New York,6.3,30,9569000
Louisiana,6.4,32,2157000
South Carolina,6.4,32,2198000
Kentucky,6.5,34,2005000
New Mexico,6.5,34,918000
West Virginia,6.5,34,790000
Connecticut,6.6,37,1885000
New Jersey,6.6,37,4519000
Tennessee,6.7,39,3011000
Alabama,6.8,40,2150000
Alaska,6.8,40,367000
Arizona,6.9,42,3091000
Oregon,6.9,42,1942000
Illinois,7.1,44,6525000
Georgia,7.2,45,4757000
Michigan,7.3,46,4750000
California,7.5,47,18811000
Rhode Island,7.7,48,553000
Mississippi,7.8,49,1236000
Nevada,7.8,49,1395000
"Washington, D.C.",7.8,49,37000
