state,2018 rate,rank,,,,,,,
Hawaii,2.4,1,,,,,,,
Iowa,2.5,2,,,,,,,
New Hampshire,2.5,2,,,,,,,
North Dakota,2.6,4,,,,,,,
Vermont,2.7,5,,,,,,,
Idaho,2.8,6,,,,,,,
Nebraska,2.8,6,,,,,,,
Minnesota,2.9,8,,,,,,,
South Dakota,3,9,,,,,,,
Virginia,3,9,,,,,,,
Wisconsin,3,9,,,,,,,
Utah,3.1,12,,,,,,,
Missouri,3.2,13,,,,,,,
Colorado,3.3,14,,,,,,,
Massachusetts,3.3,14,,,,,,,
Indiana,3.4,16,,,,,,,
Kansas,3.4,16,,,,,,,
Maine,3.4,16,,,,,,,
Oklahoma,3.4,16,,,,,,,
South Carolina,3.4,16,,,,,,,
Tennessee,3.5,21,,,,,,,
Florida,3.6,22,,,,,,,
Arkansas,3.7,23,,,,,,,
Montana,3.7,23,,,,,,,
Delaware,3.8,25,,,,,,,
Alabama,3.9,26,,,,,,,
Georgia,3.9,26,,,,,,,
Maryland,3.9,26,,,,,,,
North Carolina,3.9,26,,,,,,,
Texas,3.9,26,,,,,,,
Connecticut,4.1,31,,,,,,,
Michigan,4.1,31,,,,,,,
New Jersey,4.1,31,,,,,,,
New York,4.1,31,,,,,,,2.4
Rhode Island,4.1,31,,,,,,,
Wyoming,4.1,31,,,,,,,
California,4.2,37,,,,,,,
Oregon,4.2,37,,,,,,,
Illinois,4.3,39,,,,,,,
Kentucky,4.3,39,,,,,,,
Pennsylvania,4.3,39,,,,,,,
Washington,4.5,42,,,,,,,
Nevada,4.6,43,,,,,,,
Ohio,4.6,43,,,,,,,
Arizona,4.8,45,,,,,,,
Mississippi,4.8,45,,,,,,,
Louisiana,4.9,47,,,,,,,
New Mexico,4.9,47,,,,,,,
West Virginia,5.3,49,,,,,,,
"Washington, D.C.",5.6,50,,,,,,,
Alaska,6.6,51,,,,,,,
