State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Median Income,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands),GDP
Alabama,2845439867.29,7.3,4815588,411745.0833,910243.8333,1390011732.0,127.2564,281.3253,43464,46.0,0.82,15.4,1901.6,189250000000.0
Alaska,450029057.04,7.0,730443,37951.6667,91297.6667,186325119.0,170.0711,409.1281,75246,15.0,2.05,6.5,322.9,58280000000.0
Arizona,8048923633.05,8.3,6554978,484905.5,1123974.333,1706601437.0,126.5303,293.2876,55616,13.0,2.12,51.3,2466.2,271440000000.0
Arkansas,1423079498.21,7.3,2952164,220095.0,502124.75,733396874.0,121.7156,277.6819,46128,34.0,1.34,15.6,1177.7,108490000000.0
California,17137797045.49,10.5,37948800,1779240.833,3964220.583,7090221357.0,149.0461,332.0808,67410,16.0,1.99,285.3,14625.3,2113100000000.0
Colorado,3115254276.01,8.0,5192647,220707.3333,491629.6667,808505391.0,137.0451,305.2706,67688,7.0,2.4,53.5,2281.2,276820000000.0
Connecticut,1673334566.47,8.4,3594547,219816.8333,403466.4167,696670564.0,143.8927,264.1103,75954,36.0,1.32,21.2,1632.4,240910000000.0
Delaware,441221808.36,7.1,915179,69564.1667,148257.0833,226577031.0,127.3559,271.4245,57896,49.0,0.19,0.8,412.6,62350000000.0
Florida,10068816174.38,8.6,19297822,1825813.417,3353064.083,5592221094.0,138.9829,255.2388,54466,22.0,1.84,134.2,7408.0,778550000000.0
Georgia,5345661550.86,9.0,9901430,879493.25,1912838.75,3119435907.0,135.8991,295.5713,56890,42.0,1.15,44.5,3921.3,447760000000.0
Hawaii,520633695.87,5.8,1394804,88454.6667,176822.5833,453331174.0,213.6469,427.0843,66515,40.0,1.19,7.1,604.1,71910000000.0
Idaho,792912554.73,7.1,1595324,100495.1667,233033.8333,361230209.0,129.1766,299.5419,47922,12.0,2.17,12.9,607.7,58320000000.0
Illinois,8392571592.13,8.9,12882510,914286.5833,1869712.833,3128689275.0,139.4461,285.1667,61166,29.0,1.57,87.5,5678.3,726400000000.0
Indiana,4437755509.99,8.4,6537703,401414.5833,908704.5,1444409807.0,132.4605,299.8583,54569,9.0,2.34,65.7,2873.3,300510000000.0
Iowa,3683401846.64,5.2,3076190,190720.5833,408049.5,593443715.0,121.1952,259.2989,63180,18.0,1.92,28.0,1488.9,158540000000.0
Kansas,635906241.0,5.7,2885257,143241.5,304719.4167,457478972.0,125.1093,266.1467,59115,25.0,1.82,24.2,1351.9,141820000000.0
Kentucky,2440632217.1,8.2,4386346,402733.6667,849247.6667,1298611475.0,127.4276,268.7077,48573,23.0,1.83,32.3,1794.5,178140000000.0
Louisiana,2220360080.6,6.4,4600972,422679.5833,948758.25,1549558693.0,136.1041,305.503,39085,41.0,1.16,22.1,1923.3,235380000000.0
Maine,679890129.94,7.3,1327729,131153.3333,252860.0,376750999.0,124.1632,239.3833,49158,48.0,0.59,3.4,578.7,53680000000.0
Maryland,2581653431.59,6.8,5886992,360523.0,716379.1667,1104337614.0,128.4629,255.2629,84926,35.0,1.32,33.3,2556.1,332520000000.0
Massachusetts,3980866176.31,6.7,6663005,479829.75,861568.25,1369997551.0,132.5101,237.9312,75256,21.0,1.88,60.1,3253.9,442920000000.0
Michigan,5768368134.2,9.1,9897145,924643.25,1828384.25,2980301907.0,135.835,268.5993,59129,4.0,2.64,102.5,3981.1,422690000000.0
Minnesota,4392252001.96,5.6,5376643,264738.9167,538868.8333,749536081.0,115.912,235.9356,73055,20.0,1.9,49.7,2668.8,298330000000.0
Mississippi,1601233891.67,9.2,2983816,296507.5833,659872.25,980027716.0,123.7648,275.4364,43318,44.0,0.86,9.4,1103.6,100450000000.0
Missouri,3650429996.37,3.9,6024367,441625.9167,947888.5833,1462076136.0,128.538,275.8889,58832,47.0,0.8,21.4,2681.0,271540000000.00003
Montana,526241070.72,6.0,1003783,58987.6667,125873.6667,193011254.0,127.7811,272.6718,45088,19.0,1.91,8.0,427.8,42340000000.0
Nebraska,1105802556.2,6.9,1853303,77066.25,176073.1667,258674634.0,122.4276,279.7102,61707,17.0,1.97,18.5,957.6,102730000000.0
Nevada,834065970.57,11.1,2743996,169147.0833,354899.75,525318612.0,123.3491,258.8076,47333,31.0,1.44,16.1,1130.9,129310000000.0
New Hampshire,797839221.04,5.5,1324232,56354.3333,116894.5833,166472605.0,118.6772,246.1695,80177,45.0,0.86,5.3,623.4,68500000000.0
New Jersey,3410837408.92,9.5,8844942,406142.5,826133.5833,1321101694.0,133.2615,271.0669,78845,32.0,1.44,54.7,3846.3,517200000000.00006
New Mexico,1049024111.6,6.9,2087309,193521.5833,438251.75,674066965.0,128.1735,290.2635,51337,50.0,0.11,0.9,799.4,87930000000.0
New York,11550565473.69,8.5,19572932,1650098.667,3076911.417,5444101662.0,147.445,274.9382,56368,24.0,1.83,157.0,8727.3,1328230000000.0
North Carolina,4427093117.39,9.5,9749476,785071.9167,1668588.167,2430133033.0,121.3667,257.9523,49125,27.0,1.7,66.2,3957.1,445100000000.0
North Dakota,411803268.26,3.1,701176,27268.5,58796.3333,90677717.0,128.5195,277.1138,65928,1.0,8.74,33.5,416.9,51830000000.0
Ohio,6821621422.37,7.2,11548923,873827.75,1807912.667,3006931315.0,138.6005,286.7586,52461,10.0,2.28,114.3,5129.7,545740000000.0
