State or Other Area,2016 Actual
Alabama,2748346724
Alaska,369410862.3
Arizona,5491900165
Arkansas,1337088859
California,16889007910
Colorado,2724958968
Connecticut,1727756056
Delaware,448493268.1
District of Columbia,1732435750
Florida,8805642383
Georgia,5039337783
Hawaii,465762397.9
Idaho,679202571.2
Illinois,7344887509
Indiana,3654315910
Iowa,2328499516
Kansas,1495600389
Kentucky,2158537002
Louisiana,2205312749
Maine,683965731.5
Maryland,2448101589
Massachusetts,4033028526
Michigan,5048656650
Minnesota,4047131238
Mississippi,1533012282
Missouri,3291937804
Montana,467129397.1
Nebraska,1004382043
Nevada,794174466.6
New Hampshire,1157881466
New Jersey,3324720848
New Mexico,839971247.6
New York,11206741059
North Carolina,4252874028
North Dakota,375455733.3
Ohio,5663996510
Oklahoma,1673044022
Oregon,2069804689
Pennsylvania,7615212760
Rhode Island,742128890.7
South Carolina,2230956104
South Dakota,561486777.8
Tennessee,3069563824
Texas,10860547355
Utah,1586747565
Vermont,450502865.9
Virginia,4352946774
Washington,2495566768
West Virginia,1225997768
Wisconsin,2482946444
Wyoming,223633057.4
American Samoa,31134340
Guam,68921543.75
Northern Mariana Islands,22686128
Puerto Rico,2255744665
Virgin Islands,38232394.94
Freely Associated States,22310702
Indian set-aside,290577262
Other,1637376628
     Total,163828000000
