state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,113186.9167,212562.25,253062794,99.2112,186.3163
Maine,81767.0833,162601.75,170581745,87.4231,173.8492
Massachusetts,239802.1667,456191.6667,471901175,86.203,163.9898
New Hampshire,28851.5833,59100.5,62477686,88.0953,180.4571
New York,951632.75,1801984.167,2324294916,107.4878,203.5357
Rhode Island,36645.0833,76315,89354659,97.5722,203.1984
Vermont,26045.5833,52612,55659902,88.161,178.0849
Delaware,29116.0833,67184.5,74729045,92.6913,213.8825
District of Columbia,45128.5,86518.6667,103950879,100.1237,191.9535
Maryland,147191.1667,317825.0833,357244132,93.669,202.2563
New Jersey,198725.25,414502.5833,483425319,97.1898,202.7193
Pennsylvania,530243.0833,1135145.667,1258604269,92.3967,197.803
Virginia,230280.6667,515032.3333,551446240,89.2252,199.5558
West Virginia,120134.5833,269343.25,274884537,85.0478,190.6782
Alabama,220917.1667,545955,601413135,91.7983,226.8622
Florida,627987.1667,1232803.417,1400153858,94.6457,185.7992
Georgia,387254.3333,950038.4167,1125954322,98.7639,242.2943
Kentucky,266672.5,602021.5,674261809,93.333,210.7022
Mississippi,178775,426115.5,443797523,86.7913,206.8697
North Carolina,391018.6667,882946,972290890,91.7658,207.2132
South Carolina,233294.8333,545293.0833,618164263,94.4697,220.8094
Tennessee,387440.9167,864870.4167,1003609007,96.7013,215.8628
Illinois,569073,1246399.75,1565198255,104.648,229.2029
Indiana,253839.5,587156.4167,677097583,96.0984,222.2853
Michigan,555744.3333,1204409.167,1367629622,94.6266,205.0748
Minnesota,131764.25,276413.6667,296387269,89.355,187.448
Ohio,492810.75,1076763.75,1292695103,100.0448,218.5922
Wisconsin,162092,382769.9167,363438137,79.1246,186.8477
Arkansas,158086.5833,379768.25,412445881,90.5039,217.4156
Louisiana,266075.25,650356.5833,746127346,95.6049,233.6831
New Mexico,92093.1667,233917.9167,248844870,88.6511,225.1749
Oklahoma,176290,421315.9167,458907034,90.7686,216.9281
Texas,947235.25,2422198.333,2718158343,93.5155,239.1309
Colorado,106898.8333,250703.9167,310583982,103.2373,242.1168
Iowa,108165.8333,238349,265450404,92.8087,204.5088
Kansas,82880.75,182406.6667,192850959,88.1049,193.9041
Missouri,299509.0833,671397,745311957,92.5076,207.3704
Montana,34829.8333,79968.5,89698694,93.4729,214.6117
Nebraska,51845.3333,120634.3333,126459764,87.3575,203.2645
North Dakota,20394.75,45122.3333,51891080,95.8341,212.0279
South Dakota,24754.0833,60246.1667,70614077,97.6744,237.7186
Utah,50783.9167,123475.3333,133204438,89.8995,218.5804
Wyoming,9498.5,22607.75,25284892,93.2014,221.8323
Alaska,21317.8333,56181.0833,86084132,127.6885,336.5106
Arizona,222303.6667,544688.4167,646750299,98.9481,242.4425
California,827257.6667,2048185.333,2569814590,104.5566,258.8688
Hawaii,45380.1667,89628.8333,156542027,145.5466,287.4641
Idaho,35989.75,87067.6667,95992768,91.8756,222.2688
Nevada,57023.0833,122224.4167,133739897,91.1847,195.447
Oregon,226435.25,438498.4167,477442080,90.7343,175.7096
Washington,272604.5,536332.8333,600647715,93.3263,183.6139
