state,household_participants,individual_participants,cost,cost_per_person,cost_per_household,,
Connecticut,233171.4167,425319.5,707654612,138.6516,252.9093,,
Maine,130374.25,249118.5,367069888,122.7896,234.6258,,
Massachusetts,498580.0833,887618.6667,1394535579,130.9248,233.0845,,
New Hampshire,56201.0833,117314.8333,162970800,115.7646,241.6484,,
New York,1710501.25,3170465,5621405245,147.7545,273.8673,,
Rhode Island,100542.6667,179925,302890523,140.2855,251.0464,,
Vermont,52337.3333,100541.25,150054164,124.372,238.9215,,
Delaware,72243.5833,153137.25,235028481,127.8964,271.1065,,
District of Columbia,81903.9167,144888.9167,235020570,135.1728,239.1222,,
Maryland,392183.5833,771020.75,1178661931,127.3919,250.4486,,
New Jersey,432269.5,876266,1419226622,134.9692,273.5999,,
Pennsylvania,869835.8333,1784790.25,2748346529,128.3226,263.3013,,
Virginia,456488.5833,940932.1667,1442442319,127.7494,263.3221,,
West Virginia,167013.9167,350695.4167,504485785,119.8775,251.7184,,
Alabama,421302.1667,915322.4167,1414951864,128.8209,279.8767,,
Florida,1943901.583,3556472.917,5906158957,138.3899,253.1918,,
Georgia,907896.3333,1948188.583,3188743586,136.3978,292.6861,,
Kentucky,420210.8333,872438.5833,1332998664,127.325,264.3512,,
Mississippi,305004.9167,668624.3333,993077956,123.7713,271.3284,,
North Carolina,786063.9167,1703700.417,2491197794,121.8523,264.1004,,
South Carolina,416723.75,875865.75,1381782118,131.4682,276.3186,,
Tennessee,662204.3333,1342089.417,2127681953,132.1125,267.7524,,
Illinois,1017189.583,2040053.25,3378095657,137.9905,276.7507,,
Indiana,415518.1667,926010.9167,1461136176,131.4902,293.035,,
Michigan,909764,1775645.667,2911624110,136.6463,266.7014,,
Minnesota,274236.25,552928.3333,771362512,116.2541,234.3972,,
Ohio,889427.1667,1824674.833,2923160707,133.5014,273.8805,,
Wisconsin,416826.4167,856729.5,1198302422,116.5578,239.5686,,
Arkansas,224453.8333,504620.9167,731845896,120.8574,271.7136,,
Louisiana,425647.9167,940099.6667,1479828133,131.1765,289.7207,,
New Mexico,197359,440361.6667,679481811,128.584,286.906,,
Oklahoma,287398.1667,621830.9167,958684325,128.476,277.978,,
Texas,1674350.083,4041891.083,5934441831,122.3528,295.3605,,
Colorado,231487.6667,507933.9167,823529607,135.111,296.4627,,
Iowa,198500.25,420344.4167,586542123,116.282,246.239,,
Kansas,149233,316982.5833,474255829,124.6798,264.8296,,
Missouri,437443.1667,929942.8333,1428882352,128.0439,272.2034,,
Montana,59397.8333,128530.9167,192259685,124.652,269.7344,,
Nebraska,79378.6667,179710.6667,264636314,122.7141,277.8206,,
North Dakota,26269.9167,56522.8333,85530266,126.0999,271.3188,,
South Dakota,45312,104051.5833,165040184,132.1782,303.5255,,
Utah,101027.25,251626,377903214,125.1537,311.7172,,
Wyoming,16211,38046.1667,56980056,124.8046,292.9084,,
Alaska,38279.0833,91363.8333,189565646,172.9036,412.6833,,
Arizona,476688.5,1111105.25,1648236258,123.6184,288.14,,
California,1905869,4159030.75,7558348393,151.4445,330.4857,,
Hawaii,96021.5,189349.75,494182027,217.4908,428.8814,,
Idaho,97927.0833,227006.25,346782947,127.303,295.103,,
Nevada,174638.4167,360953.1667,535230693,123.5688,255.3995,,
Oregon,451419.5833,817574.8333,1250176428,127.4273,230.7861,,
Washington,591112.5,1113440.917,1678737077,125.6418,236.6635,,
