State,2002 Rate,Rank ,Labor Force
South Dakota,3.1,1,421000
Missouri,3.6,2,959000
Vermont,3.7,3,349000
Iowa,4,4,1667000
North Dakota,4,4,346000
Virginia,4.1,6,3735000
Delaware,4.2,7,423000
Wyoming,4.2,7,270000
Hawaii,4.2,7,582000
Connecticut,4.3,10,1773000
Maine,4.4,11,686000
Minnesota,4.4,11,2918000
Maryland,4.4,11,2898000
Oklahoma,4.5,14,1693000
Montana,4.6,15,464000
New Hampshire,4.7,16,706000
Rhode Island,5.1,17,556000
Indiana,5.1,17,3175000
Kansas,5.1,17,1414000
Georgia,5.1,17,4292000
Tennessee,5.1,17,2926000
Massachusetts,5.3,22,486000
Arkansas,5.4,23,1285000
New Mexico,5.4,23,878000
Wisconsin,5.5,25,3028000
Nebraska,5.5,25,2990000
Florida,5.5,25,8084000
Nevada,5.5,25,1122000
Kentucky,5.6,29,1966000
Pennsylvania,5.7,30,6290000
Ohio,5.7,30,5828000
Colorado,5.7,30,2437000
New Jersey,5.8,33,4368000
Mississippi,5.8,33,1298000
Idaho,5.8,33,684000
Alabama,5.9,36,2103000
South Carolina,6,37,1968000
New York,6.1,38,9362000
West Virginia,6.1,38,804000
Louisiana,6.1,38,2006000
Utah,6.1,38,1180000
Michigan,6.2,42,5001000
Arizona,6.2,42,2672000
Texas,6.3,44,10751000
"Washington, D.C.",6.4,45,304000
Illinois,6.5,46,6378000
North Carolina,6.7,47,4171000
California,6.7,47,17405000
Washington,7.3,49,3097000
Oregon,7.5,50,1834000
Alaska,7.7,51,323000
