State,2012 Rate,Rank,Labor Force
North Dakota,3.1,1,392000
Missouri,3.9,2,1021000
South Dakota,4.4,3,446000
Vermont,5,4,356000
Iowa,5.2,5,1639000
Oklahoma,5.2,5,1803000
Wyoming,5.4,7,306000
New Hampshire,5.5,8,742000
Minnesota,5.6,9,2969000
Kansas,5.7,10,1489000
Utah,5.7,10,1354000
Hawaii,5.8,12,652000
Virginia,5.9,13,4210000
Montana,6,14,508000
Louisiana,6.4,15,2084000
Massachusetts,6.7,16,3475000
Maryland,6.8,17,3123000
Texas,6.8,17,12597000
Wisconsin,6.9,19,3052000
Nebraska,6.9,19,2993000
New Mexico,6.9,19,936000
Alaska,7,22,366000
Delaware,7.1,23,444000
Idaho,7.1,23,773000
Ohio,7.2,25,5748000
Maine,7.3,26,706000
West Virginia,7.3,26,805000
Alabama,7.3,26,2156000
Arkansas,7.3,26,1356000
Pennsylvania,7.9,30,6487000
Tennessee,8,31,3114000
Colorado,8,31,2743000
Kentucky,8.2,33,2075000
Washington,8.2,33,3481000
Arizona,8.3,35,3030000
Connecticut,8.4,36,1879000
Indiana,8.4,36,3150000
New York,8.5,38,9587000
Florida,8.6,39,9369000
Oregon,8.7,40,1963000
Illinois,8.9,41,6593000
"Washington, D.C.",8.9,41,362000
Georgia,9,43,4806000
Michigan,9.1,44,4657000
South Carolina,9.1,44,2167000
Mississippi,9.2,46,1333000
New Jersey,9.5,47,4595000
North Carolina,9.5,47,4723000
Rhode Island,10.4,49,560000
California,10.5,50,18495000
Nevada,11.1,51,1379000
