state,2015 rate,rank
North Dakota,2.7,1
Nebraska,3,2
South Dakota,3.1,3
New Hampshire,3.4,4
Utah,3.5,5
Hawaii,3.6,6
Vermont,3.7,7
Iowa,3.7,7
Minnesota,3.7,7
Colorado,3.9,10
Idaho,4.1,11
Montana,4.1,11
Kansas,4.2,13
Oklahoma,4.2,13
Wyoming,4.2,13
Maine,4.4,16
Virginia,4.4,16
Texas,4.5,18
Wisconsin,4.6,19
Indiana,4.8,20
Ohio,4.9,21
Delaware,4.9,21
Massachusetts,5,23
Missouri,5,23
Pennsylvania,5.1,25
Maryland,5.2,26
Arkansas,5.2,26
New York,5.3,28
Michigan,5.4,29
Florida,5.4,29
Kentucky,5.4,29
Connecticut,5.6,32
New Jersey,5.6,32
North Carolina,5.7,34
Oregon,5.7,34
Washington,5.7,34
Tennessee,5.8,37
Illinois,5.9,38
Georgia,5.9,38
Rhode Island,6,40
South Carolina,6,40
Alabama,6.1,42
Arizona,6.1,42
California,6.2,44
Louisiana,6.3,45
Mississippi,6.5,46
Alaska,6.5,46
New Mexico,6.6,48
West Virginia,6.7,49
Nevada,6.7,49
"Washington, D.C.",6.9,51
