state,2019 rate,rank
Vermont,2.1,1
North Dakota,2.2,2
Hawaii,2.5,3
Utah,2.5,3
New Hampshire,2.6,5
Colorado,2.7,6
Iowa,2.7,6
South Carolina,2.8,8
South Dakota,2.8,8
Virginia,2.8,8
Idaho,2.9,11
Maine,2.9,11
Massachusetts,3,13
Nebraska,3.1,14
Oklahoma,3.1,14
Alabama,3.2,16
Florida,3.2,16
Missouri,3.2,16
Wisconsin,3.2,16
Indiana,3.3,20
Kansas,3.3,20
Minnesota,3.3,20
Tennessee,3.3,20
Maryland,3.4,24
Arkansas,3.5,25
Montana,3.5,25
New Jersey,3.5,25
Rhode Island,3.5,25
Texas,3.5,25
Connecticut,3.6,30
Delaware,3.6,30
Georgia,3.6,30
Oregon,3.7,33
Wyoming,3.7,33
New York,3.9,35
North Carolina,3.9,35
Illinois,4,37
California,4.1,38
Kentucky,4.1,38
Michigan,4.1,38
Nevada,4.1,38
Ohio,4.2,42
Washington,4.2,42
Pennsylvania,4.3,44
Louisiana,4.6,45
Arizona,4.8,46
New Mexico,5,47
West Virginia,5,47
District of Columbia,5.5,49
Mississippi,5.5,49
Alaska,5.6,51
