State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Year
Alabama,2729781358.0,6.1,4852347,417943.4167,889380.0833,1341906577,267.56145,125.7342583,2015
Alaska,415238723.8,6.5,737498,34187.3333,81121.25,168054411,409.641025,172.6370583,2015
Arizona,6241051368.0,6.1,6829676,439329.6667,999401.0,1459584642,276.858275,121.7049583,2015
Arkansas,1334963163.0,5.2,2978048,214055.75,468904.0,648769562,252.570325,115.2989333,2015
California,16727837255.0,6.2,38918045,2096959.667,4417772.0,7528039778,299.1648583,142.00295,2015
Colorado,2780371880.0,3.9,5450623,233113.4167,495133.75,771959823,275.960025,129.9244583,2015
Connecticut,1711664971.0,5.6,3587122,248203.5,442161.25,715334947,240.17085,134.8178833,2015
Delaware,407209807.4,4.9,941252,71820.75,149980.5,228935464,265.6329167,127.2029083,2015
Florida,8838564032.0,5.4,20209042,2009593.917,3656169.417,5688711691,235.8980583,129.6601083,2015
Georgia,5116975414.0,5.9,10178447,839206.6667,1800530.917,2803606880,278.3985333,129.7583417,2015
Hawaii,451957656.7,3.6,1422052,95544.75,188895.0833,505466329,440.8635083,222.9925417,2015
Idaho,679872934.2,4.1,1651059,83868.6667,196871.5,273758132,272.0107333,115.8785167,2015
Illinois,7469049674.0,5.9,12858913,1060589.167,2042305.5,3303102831,259.5336417,134.77835,2015
Indiana,3883891185.0,4.8,6608422,379929.4167,831740.4167,1244188231,272.8989833,124.6571083,2015
Iowa,2421686820.0,3.7,3120960,184849.6667,391223.75,516608025,232.895575,110.0410417,2015
Kansas,1499228798.0,4.2,2909011,121991.1667,273974.1667,374432741,255.7785917,113.8893083,2015
Kentucky,2157474471.0,5.4,4425976,368596.4167,768881.8333,1112381122,251.4903083,120.5626417,2015
Louisiana,2176484426.0,6.3,4664628,389519.25,859737.5833,1298445656,277.7880833,125.8567833,2015
Maine,657899840.9,4.4,1328262,105075.3333,202578.8333,282015650,223.661475,116.0106583,2015
Maryland,2418090781.0,5.2,5985562,404707.5,781034.5833,1149657589,236.726025,122.6639667,2015
Massachusetts,3951763992.0,5.0,6794228,449467.6667,785778.0833,1202312621,222.9141833,127.50765,2015
Michigan,5170171423.0,5.4,9931715,824971.4167,1571344.333,2369233695,239.324825,125.6479167,2015
Minnesota,4177354624.0,3.7,5482032,240410.0,496023.1667,627557916,217.5304417,105.43155,2015
Mississippi,1526910147.0,6.5,2988471,296094.3333,636322.25,916551543,257.95595,120.0324167,2015
Missouri,3294846788.0,5.0,6071732,398662.25,844597.0833,1258535557,263.074725,124.1751417,2015
Montana,462528447.7,4.1,1030475,56111.5,119081.5,171413823,254.5732167,119.9555333,2015
Nebraska,1003334932.0,3.0,1891277,77754.8333,174092.4167,242092503,259.4613667,115.8831333,2015
Nevada,817331434.8,6.7,2866939,209786.5833,420413.1667,605592527,240.5589667,120.0391583,2015
New Hampshire,1061917977.0,3.4,1336350,51478.25,106296.3333,132497777,214.4882833,103.874525,2015
New Jersey,3221345476.0,5.6,8867949,453337.5833,905727.6667,1291435885,237.394075,118.8212083,2015
New Mexico,870397777.9,6.6,2089291,205540.0833,453146.4167,685206629,277.8073833,126.0090583,2015
New York,11060800392.0,5.3,19654666,1665682.5,3039108.167,5036156208,251.9565917,138.0930417,2015
North Carolina,4234028617.0,5.7,10031646,803494.75,1646202.25,2395550386,248.4511583,121.2665083,2015
North Dakota,371500995.6,2.7,754066,24770.5833,53147.5833,77912538,262.1137917,122.1638167,2015
Ohio,5656542207.0,4.9,11617527,818704.25,1676263.0,2528834777,257.40215,125.7178833,2015
Oklahoma,1672978363.0,4.2,3909500,271064.8333,598257.1667,864950565,265.9113417,120.4819917,2015
Oregon,2174406328.0,5.7,4015792,442089.75,779748.9167,1152976715,217.3345833,123.2209417,2015
Pennsylvania,7516987147.0,5.1,12784826,918760.75,1826666.833,2699655059,244.8638083,123.1594333,2015
Rhode Island,733435117.8,6.0,1056065,100949.3333,175024.6667,282777163,233.4315917,134.6368167,2015
South Carolina,2202213757.0,6.0,4891938,379991.75,804571.75,1208604782,265.0506667,125.1809583,2015
South Dakota,589893532.9,3.1,853988,43176.1667,98552.8333,148866948,287.3247,125.87745,2015
Tennessee,3003457777.0,5.8,6591170,611805.1667,1229390.667,1884708816,256.7141917,127.7535833,2015
Texas,10716225910.0,4.5,27470056,1558597.083,3724688.167,5265414124,281.5253,117.8043583,2015
Utah,1549237437.0,3.5,2981835,88160.4167,225602.75,313810557,296.6283583,115.9156083,2015
Vermont,442921893.6,3.7,625216,44950.3333,84993.6667,124409407,230.64235,121.9790917,2015
Virginia,4286211235.0,4.4,8361808,404347.5833,860374.75,1230788073,253.6571917,119.2104667,2015
Washington,2506549880.0,5.7,7163657,572261.0833,1070932.667,1527741099,222.4714583,118.8793333,2015
West Virginia,1259501298.0,6.7,1842050,181961.0833,367908.25,497268953,227.73595,112.634275,2015
Wisconsin,2513800854.0,4.6,5760940,406753.6667,805540.4167,1051153941,215.354325,108.7421083,2015
Wyoming,223082544.1,4.2,585613,13867.6667,32605.5,46448470,279.1173083,118.7132833,2015
Alabama,2748346724.0,5.9,4863525,399727.75,850804.0833,1254835320,261.602075,122.9068,2016
Alaska,369410862.3,6.9,741456,34647.6667,82326.25,175483424,422.066475,177.6300833,2016
Arizona,5491900165.0,5.4,6941072,427060.9167,960104.6667,1402230493,273.6203083,121.708125,2016
Arkansas,1337088859.0,3.9,2989918,191636.25,426068.5,577775082,251.246425,113.005125,2016
California,16889007910.0,5.5,39167117,2093561.833,4340042.083,7237700086,288.0935583,138.9713917,2016
Colorado,2724958968.0,3.3,5539215,225333.5,475690.3333,728042703,269.2463667,127.5414333,2016
Connecticut,1727756056.0,5.1,3578141,244926.75,431597.4167,685510011,233.2364,132.359075,2016
Delaware,448493268.1,4.5,948921,71098.9167,147558.9167,220683314,258.6576167,124.6300583,2016
Florida,8805642383.0,4.8,20613477,1870739.083,3454529.667,5216754147,232.3838333,125.843325,2016
Georgia,5039337783.0,5.4,10301890,800670.0,1733473.083,2663017763,277.1655583,128.019375,2016
Hawaii,465762397.9,2.9,1427559,89094.9167,176729.0833,484225008,452.9111833,228.3273583,2016
Idaho,679202571.2,3.8,1682380,79531.3333,185303.4167,255423930,267.6344833,114.8674333,2016
Illinois,7344887509.0,5.8,12820527,996092.3333,1914393.333,3040976772,254.408875,132.3733917,2016
Indiana,3654315910.0,4.4,6634304,328688.25,741610.0,1068458926,270.88965,120.0607417,2016
Iowa,2328499516.0,3.6,3131371,178873.75,380705.0833,507597206,236.4783417,111.1090167,2016
Kansas,1495600389.0,4.0,2910844,114391.5833,253832.8333,342324968,249.3809417,112.3853083,2016
Kentucky,2158537002.0,5.1,4438182,313475.8333,666264.4167,980976984,260.7795333,122.6961583,2016
Louisiana,2205312749.0,6.0,4678135,422089.5,927168.0833,1494495292,295.058925,134.324375,2016
Maine,683965731.5,3.8,1331317,98549.0833,189245.1667,254898802,215.5430167,112.2436417,2016
Maryland,2448101589.0,4.4,6003323,388957.25,744342.8333,1079151904,231.2061917,120.817075,2016
Massachusetts,4033028526.0,3.9,6823608,450363.5,779191.6667,1189716303,220.1400083,127.2383,2016
Michigan,5048656650.0,5.0,9950571,777906.25,1473614.25,2167714845,232.2168083,122.5849333,2016
Minnesota,4047131238.0,3.9,5522744,231227.5,478782.6667,602563639,217.1611833,104.877725,2016
Mississippi,1533012282.0,5.8,2987938,269081.9167,582658.3333,814420697,252.2220417,116.4806,2016
Missouri,3291937804.0,4.6,6087135,378373.4167,810690.0,1182957874,260.5358083,121.5999,2016
Montana,467129397.1,4.1,1040859,54611.5833,116625.75,166365465,253.8616917,118.8741667,2016
Nebraska,1004382043.0,3.1,1905616,78481.5,175850.6667,240677417,255.556425,114.0538833,2016
Nevada,794174466.6,5.7,2917563,222252.8333,439782.4167,629519652,236.0373583,119.2861917,2016
New Hampshire,1157881466.0,2.9,1342307,48037.1667,98464.4167,120552019,209.1297667,102.026725,2016
New Jersey,3324720848.0,5.0,8870827,440090.75,879987.0,1223052433,231.59095,115.8210667,2016
New Mexico,839971247.6,6.7,2091630,216876.5833,471246.75,693426783,266.4444667,122.6227333,2016
New York,11206741059.0,4.8,19633428,1635763.75,2968227.333,4922406430,250.7700333,138.1971417,2016
North Carolina,4252874028.0,5.1,10154788,761998.75,1568386.583,2248946897,245.948225,119.49365,2016
North Dakota,375455733.3,3.1,754434,25261.5,54252.25,78700888,259.6206583,120.8872833,2016
Ohio,5663996510.0,5.0,11634370,793923.0833,1608632.833,2396032919,251.497175,124.1236667,2016
Oklahoma,1673044022.0,4.8,3926331,276267.9167,612869.3333,885643482,267.1451083,120.4231,2016
Oregon,2069804689.0,4.8,4089976,419777.5833,734864.0,1072982185,213.0060917,121.675825,2016
Pennsylvania,7615212760.0,5.4,12782275,950738.8333,1863835.75,2729024683,239.2021,122.0165083,2016
Rhode Island,742128890.7,5.2,1056770,100433.0833,171055.25,271959596,225.6557167,132.4911083,2016
South Carolina,2230956104.0,5.0,4957968,378328.25,805012.25,1222104228,269.1895667,126.5099,2016
South Dakota,561486777.8,3.0,862996,42233.75,95983.25,144590242,285.2975833,125.5342667,2016
Tennessee,3069563824.0,4.7,6646010,547849.5,1113230.917,1672282240,254.3706833,125.1823417,2016
Texas,10860547355.0,4.6,27914410,1588116.417,3768471.667,5308544560,278.5555917,117.389425,2016
Utah,1586747565.0,3.4,3041868,86244.3333,219819.5833,301869697,291.6807083,114.4384333,2016
Vermont,450502865.9,3.2,623657,42975.6667,79715.4167,116470075,225.845,121.7561167,2016
Virginia,4352946774.0,4.1,8410106,387632.5833,826353.5833,1169412644,251.400575,117.929,2016
Washington,2495566768.0,5.3,7294771,546930.8333,1011411.667,1452893518,221.3707,119.7083917,2016
West Virginia,1225997768.0,6.1,1831023,178274.25,357530.6667,499059458,233.2826417,116.3209,2016
Wisconsin,2482946444.0,4.0,5772628,359932.9167,728076.5,922851050,213.6627417,105.6266083,2016
Wyoming,223633057.4,5.3,584215,14367.3333,33852.9167,48510210,281.368675,119.4141583,2016
Alabama,2831684185.0,4.4,4874486,375918.8333,804336.0,1161155532,257.4038667,120.3016667,2017
Alaska,403601682.9,7.2,739700,38631.5,89112.5833,191442132,412.9663917,179.0264667,2017
Arizona,5077168472.0,4.9,7044008,412988.9167,918727.6667,1335235066,269.425125,121.1127,2017
Arkansas,1376380456.0,3.7,3001345,170643.6667,388362.0833,510832029,249.4633167,109.6124917,2017
California,17084027581.0,4.8,39358497,1987758.0,4112066.0,6732719405,282.257675,136.44235,2017
Colorado,2765702017.0,2.8,5611885,221884.75,459247.3333,701946211,263.6301833,127.3725833,2017
Connecticut,1773331356.0,4.7,3573297,235305.5,410344.4167,653086669,231.2903417,132.629775,2017
Delaware,459555434.4,4.6,956823,71464.5,146805.4167,210706049,245.7001333,119.6061917,2017
Florida,8794744245.0,4.2,20963613,1690925.917,3186536.833,4783367429,235.7370917,125.0931583,2017
Georgia,5109231256.0,4.7,10410330,756157.6667,1625414.75,2540245442,279.9510333,130.2357583,2017
Hawaii,468240243.5,2.4,1424393,85869.4167,169045.0,479722381,465.5541667,236.486525,2017
Idaho,689728417.7,3.2,1717715,74534.3333,171250.8333,233881652,261.492075,113.8104667,2017
Illinois,7170081651.0,5.0,12778828,976672.0,1878519.0,2930325381,250.0264,129.9927167,2017
Indiana,3319401466.0,3.5,6658078,297486.0,671985.6667,955393220,267.6297417,118.4788667,2017
Iowa,2230980596.0,3.1,3141550,172869.0833,365892.5,482469098,232.5792333,109.884075,2017
Kansas,1486510033.0,3.6,2908718,108119.0,233777.5,318488850,245.4770917,113.5299083,2017
Kentucky,2209055707.0,4.9,4452268,308457.8333,654873.25,943688786,254.9480833,120.085425,2017
Louisiana,2328611993.0,5.1,4670560,429811.4167,928961.9167,1440110876,279.2137083,129.1863917,2017
Maine,689862463.1,3.3,1334612,93390.5,179734.1667,234405832,209.1628083,108.681725,2017
Maryland,2511350458.0,4.1,6023868,359112.25,684281.9167,987124236,229.06585,120.214125,2017
Massachusetts,4117827769.0,3.7,6859789,445839.75,766115.5833,1159027643,216.6375667,126.0718833,2017
Michigan,5020924872.0,4.6,9973114,728586.3333,1375434.167,2069172718,236.6652417,125.364825,2017
Minnesota,3942624446.0,3.5,5566230,222673.9167,453563.5833,601821006,225.225075,110.5727,2017
Mississippi,1595376188.0,5.1,2988510,244489.75,537369.8333,742934749,253.226275,115.2115833,2017
Missouri,3274176259.0,3.8,6106670,351512.5833,758918.1667,1116216424,264.6222083,122.566625,2017
Montana,489940010.0,4.0,1052482,57589.3333,120888.5,172035838,248.9405417,118.5912583,2017
Nebraska,1018198232.0,2.9,1915947,78872.4167,175848.6667,241772391,255.4467083,114.5740833,2017
Nevada,813339835.1,5.0,2969905,225336.8333,440613.8333,625062614,231.1586167,118.21815,2017
New Hampshire,1307252727.0,2.7,1348787,45859.25,92456.5833,112617204,204.6428333,101.5045833,2017
New Jersey,3426006491.0,4.6,8885525,407229.8333,817979.25,1115682640,228.307325,113.6624833,2017
New Mexico,864148148.9,6.2,2091784,217355.8333,460533.8333,669640046,256.7372417,121.1709833,2017
New York,11454985934.0,4.7,19589572,1610722.583,2910894.0,4737481755,245.1012667,135.62505,2017
North Carolina,4355257718.0,4.6,10268233,731363.5833,1453826.833,2140406972,243.8831417,122.6881,2017
North Dakota,390821271.0,2.6,754942,25239.5833,53748.25,77842534,257.0120833,120.690025,2017
Ohio,5523290838.0,5.0,11659650,746747.0,1501795.25,2226190303,248.4320083,123.5293917,2017
Oklahoma,1745468226.0,4.3,3931316,273898.0833,603896.1667,879725084,267.65585,121.3957417,2017
Oregon,1956703581.0,4.1,4143625,388364.1667,680670.5833,1009209337,216.5513333,123.5557667,2017
Pennsylvania,7583396339.0,4.9,12787641,951410.5,1842945.083,2673354132,234.1570833,120.8823417,2017
Rhode Island,769185793.9,4.5,1055673,97101.5833,164410.4167,269949378,231.67265,136.8269833,2017
South Carolina,2276562599.0,4.3,5021268,337213.1667,719977.3333,1066150932,263.4710583,123.4009833,2017
South Dakota,575346282.5,3.3,872868,41316.1667,93258.5,140613366,283.6124833,125.6483917,2017
Tennessee,3092690181.0,3.7,6708799,512908.5,1047057.583,1586711088,257.7963167,126.2833333,2017
Texas,11326225425.0,4.3,28295273,1646209.167,3921277.5,5805152020,293.8646417,123.3686417,2017
Utah,1657822174.0,3.2,3101042,82772.0833,206298.6667,286288642,288.2298667,115.6448917,2017
Vermont,448797739.4,3.0,624344,42087.1667,76558.3333,112961944,223.6666417,122.9584667,2017
Virginia,4404295843.0,3.8,8463587,367230.5,775548.0833,1115536652,253.1417917,119.8654083,2017
