State or Other Area,2005 Actual
Alabama,1677873818
Alaska,304062005
American Samoa,30884699
Arizona,4678691268
Arkansas,930347440
California,11080946384
Colorado,1823869012
Connecticut,997567838
Delaware,293525157
District of Columbia,716632246
Florida,5701576524
Freely Associated States,18376999
Georgia,3279800371
Guam,52376119
Hawaii,356335228
Idaho,468785354
Illinois,4728937533
Indian set-aside,277137604
Indiana,2243657479
Iowa,1431675661
Kansas,996327475
Kentucky,1499444374
Louisiana,1673063069
Maine,418711062
Maryland,1564968595
Massachusetts,2670561086
Michigan,3612333060
Minnesota,2133466102
Mississippi,1154835325
Missouri,2356116918
Montana,375974288
Nebraska,703224866
Nevada,447480692
New Hampshire,432014135
New Jersey,2223697671
New Mexico,747461489
New York,8153308555
North Carolina,2468879245
North Dakota,340069374
Northern Mariana Islands,18015311
Ohio,4034554557
Oklahoma,1383106457
Oregon,1307882154
Other,701242769
Pennsylvania,5045260714
Puerto Rico,1726170190
Rhode Island,579074776
South Carolina,1325000535
South Dakota,404652702
Tennessee,1930731025
Texas,7652047983
Utah,763993683
Vermont,331030556
Virgin Islands,38956016
Virginia,2343361290
Washington,1790296779
West Virginia,724741052
Wisconsin,1682084698
Wyoming,264614902
     Total,1.09112E+11
