Year,GDP,State
2001,547260000000.0,Pennsylvania
2001,71730000000.0,New Mexico
2001,425100000000.0,Michigan
2001,45750000000.0,Rhode Island
2001,360600000000.0,Virginia
2001,106640000000.0,Nevada
2001,29460000000.0,South Dakota
2001,642290000000.0,Illinois
2001,660660000000.0,Florida
2001,156850000000.0,Alabama
2001,78180000000.0,Nebraska
2001,55680000000.0,Hawaii
2001,259470000000.00003,Indiana
2001,394320000000.0,Georgia
2001,120450000000.0,Iowa
2001,234980000000.0,Colorado
2001,31530000000.0,Montana
2001,502970000000.0,Ohio
2001,261529999999.99997,Maryland
2001,57630000000.0,New Hampshire
2001,93560000000.0,Utah
2001,24910000000.0,North Dakota
2001,359620000000.0,North Carolina
2001,236090000000.0,Wisconsin
2001,114330000000.0,Kansas
2001,476620000000.0,New Jersey
2001,136169999999.99998,Oregon
2001,1692320000000.0,California
2001,243060000000.0,Missouri
2001,23750000000.0,Vermont
2001,362660000000.0,Massachusetts
2001,61820000000.0,West Virginia
2001,1020540000000.0,Texas
2001,151830000000.0,Kentucky
2001,40960000000.0,Alaska
2001,49470000000.0,Maine
2001,213170000000.0,Arizona
2001,1112790000000.0,New York
2001,247600000000.0,Minnesota
2001,29130000000.0,Wyoming
2001,233360000000.0,Tennessee
2001,46080000000.0,Idaho
2001,87310000000.0,Mississippi
2001,208620000000.0,Louisiana
2001,58370000000.0,Delaware
2001,128889999999.99998,Oklahoma
2001,303670000000.0,Washington
2001,89790000000.0,Arkansas
2001,218140000000.0,Connecticut
2001,151020000000.0,South Carolina
