Year,GDP,State
2019,715060000000.0,Pennsylvania
2019,94900000000.0,New Mexico
2019,467110000000.0,Michigan
2019,53410000000.0,Rhode Island
2019,489200000000.0,Virginia
2019,156960000000.0,Nevada
2019,46650000000.0,South Dakota
2019,776000000000.0,Illinois
2019,965670000000.0,Florida
2019,203430000000.0,Alabama
2019,118600000000.0,Nebraska
2019,79210000000.0,Hawaii
2019,337900000000.0,Indiana
2019,557360000000.0,Georgia
2019,173720000000.0,Iowa
2019,358440000000.0,Colorado
2019,46890000000.0,Montana
2019,613250000000.0,Ohio
2019,368060000000.0,Maryland
2019,76820000000.0,New Hampshire
2019,172040000000.0,Utah
2019,56390000000.0,North Dakota
2019,512830000000.00006,North Carolina
2019,303670000000.0,Wisconsin
2019,159830000000.0,Kansas
2019,559650000000.0,New Jersey
2019,219590000000.0,Oregon
2019,2729230000000.0,California
2019,290620000000.0,Missouri
2019,29940000000.0,Vermont
2019,514169999999.99994,Massachusetts
2019,72630000000.0,West Virginia
2019,1779780000000.0,Texas
2019,192970000000.0,Kentucky
2019,53430000000.0,Alaska
2019,59550000000.0,Maine
2019,325400000000.0,Arizona
2019,1500830000000.0,New York
2019,340560000000.0,Minnesota
2019,38450000000.0,Wyoming
2019,331180000000.0,Tennessee
2019,74160000000.0,Idaho
2019,100980000000.0,Mississippi
2019,237040000000.0,Louisiana
2019,64140000000.0,Delaware
2019,201160000000.0,Oklahoma
2019,533150000000.0,Washington
2019,117130000000.0,Arkansas
2019,251570000000.0,Connecticut
2019,213240000000.0,South Carolina
