DATE,Median Income
1984-01-01,71922
1985-01-01,69737
1986-01-01,68637
1987-01-01,80125
1988-01-01,72920
1989-01-01,74120
1990-01-01,78471
1991-01-01,72458
1992-01-01,79939
1993-01-01,78989
1994-01-01,76635
1995-01-01,75888
1996-01-01,72058
1997-01-01,69118
1998-01-01,68017
1999-01-01,72596
2000-01-01,81324
2001-01-01,72773
2002-01-01,71438
2003-01-01,76542
2004-01-01,80867
2005-01-01,82868
2006-01-01,81457
2007-01-01,83863
2008-01-01,77606
2009-01-01,70444
2010-01-01,74145
2011-01-01,71285
2012-01-01,66515
2013-01-01,74831
2014-01-01,81591
2015-01-01,73778
2016-01-01,81440
2017-01-01,81346
2018-01-01,86433
2019-01-01,93265
2020-01-01,84600
2021-01-01,82199
