DATE,Median Income
1984-01-01,21092
1985-01-01,20761
1986-01-01,20749
1987-01-01,20755
1988-01-01,23450
1989-01-01,24654
1990-01-01,25305
1991-01-01,26116
1992-01-01,27704
1993-01-01,31010
1994-01-01,31536
1995-01-01,32676
1996-01-01,34709
1997-01-01,33404
1998-01-01,36680
1999-01-01,35800
2000-01-01,37611
2001-01-01,38241
2002-01-01,37715
2003-01-01,42372
2004-01-01,44358
2005-01-01,44176
2006-01-01,46213
2007-01-01,49184
2008-01-01,47420
2009-01-01,46778
2010-01-01,47050
2011-01-01,47459
2012-01-01,47922
2013-01-01,48467
2014-01-01,53438
2015-01-01,51624
2016-01-01,56564
2017-01-01,59497
2018-01-01,58728
2019-01-01,65988
2020-01-01,66725
2021-01-01,76918
