DATE,Median Income
1984-01-01,56712
1985-01-01,54601
1986-01-01,53787
1987-01-01,51520
1988-01-01,58057
1989-01-01,54790
1990-01-01,54291
1991-01-01,52699
1992-01-01,54155
1993-01-01,54573
1994-01-01,50524
1995-01-01,59124
1996-01-01,60630
1997-01-01,65665
1998-01-01,66191
1999-01-01,66616
2000-01-01,64473
2001-01-01,61942
2002-01-01,61990
2003-01-01,62648
2004-01-01,60862
2005-01-01,59018
2006-01-01,61166
2007-01-01,62159
2008-01-01,58683
2009-01-01,56084
2010-01-01,57458
2011-01-01,53657
2012-01-01,54569
2013-01-01,57613
2014-01-01,55056
2015-01-01,59447
2016-01-01,63332
2017-01-01,64953
2018-01-01,64621
2019-01-01,70679
2020-01-01,69925
2021-01-01,70190
