DATE,Median Income
1984-01-01,61342
1985-01-01,54873
1986-01-01,56622
1987-01-01,58530
1988-01-01,56452
1989-01-01,56829
1990-01-01,60318
1991-01-01,56990
1992-01-01,57603
1993-01-01,55119
1994-01-01,51366
1995-01-01,53733
1996-01-01,56210
1997-01-01,61582
1998-01-01,61159
1999-01-01,60923
2000-01-01,64779
2001-01-01,63532
2002-01-01,64364
2003-01-01,65317
2004-01-01,59046
2005-01-01,58448
2006-01-01,61361
2007-01-01,63527
2008-01-01,60395
2009-01-01,56606
2010-01-01,57352
2011-01-01,55712
2012-01-01,59115
2013-01-01,55709
2014-01-01,61224
2015-01-01,62743
2016-01-01,64140
2017-01-01,62889
2018-01-01,68987
2019-01-01,77523
2020-01-01,76495
2021-01-01,75979
