DATE,Median Income
1984-01-01,44034
1985-01-01,41805
1986-01-01,47033
1987-01-01,47297
1988-01-01,43956
1989-01-01,49257
1990-01-01,49961
1991-01-01,46230
1992-01-01,44579
1993-01-01,45132
1994-01-01,48234
1995-01-01,52793
1996-01-01,55913
1997-01-01,56485
1998-01-01,60395
1999-01-01,55035
2000-01-01,57215
2001-01-01,58963
2002-01-01,55519
2003-01-01,54543
2004-01-01,51201
2005-01-01,51038
2006-01-01,53189
2007-01-01,51679
2008-01-01,51907
2009-01-01,54007
2010-01-01,51188
2011-01-01,48117
2012-01-01,48573
2013-01-01,52282
2014-01-01,49014
2015-01-01,48474
2016-01-01,51223
2017-01-01,54901
2018-01-01,58863
2019-01-01,58989
2020-01-01,59405
2021-01-01,55629
