DATE,Median Income
1984-01-01,18949
1985-01-01,21179
1986-01-01,20890
1987-01-01,21349
1988-01-01,20497
1989-01-01,22861
1990-01-01,22405
1991-01-01,25299
1992-01-01,25439
1993-01-01,26312
1994-01-01,25676
1995-01-01,27949
1996-01-01,30262
1997-01-01,33260
1998-01-01,31735
1999-01-01,32654
2000-01-01,30718
2001-01-01,33322
2002-01-01,34008
2003-01-01,33507
2004-01-01,36429
2005-01-01,37236
2006-01-01,36488
2007-01-01,41313
2008-01-01,39563
2009-01-01,45433
2010-01-01,39300
2011-01-01,40658
2012-01-01,39085
2013-01-01,46425
2014-01-01,42406
2015-01-01,45922
2016-01-01,42196
2017-01-01,43565
2018-01-01,49973
2019-01-01,51707
2020-01-01,51186
2021-01-01,57206
