DATE,Median Income
1984-01-01,20648
1985-01-01,20519
1986-01-01,23424
1987-01-01,23600
1988-01-01,26402
1989-01-01,28221
1990-01-01,27464
1991-01-01,27868
1992-01-01,29617
1993-01-01,27438
1994-01-01,30316
1995-01-01,33858
1996-01-01,34696
1997-01-01,32772
1998-01-01,35640
1999-01-01,38862
2000-01-01,37266
2001-01-01,36612
2002-01-01,36853
2003-01-01,37113
2004-01-01,41329
2005-01-01,43923
2006-01-01,45642
2007-01-01,47894
2008-01-01,47228
2009-01-01,47502
2010-01-01,47931
2011-01-01,49693
2012-01-01,49158
2013-01-01,54957
2014-01-01,51710
2015-01-01,50756
2016-01-01,50856
2017-01-01,53316
2018-01-01,58663
2019-01-01,66546
2020-01-01,63693
2021-01-01,71139
