DATE,Median Income
1984-01-01,38431
1985-01-01,39522
1986-01-01,39079
1987-01-01,42355
1988-01-01,40112
1989-01-01,42136
1990-01-01,40682
1991-01-01,37887
1992-01-01,39046
1993-01-01,41087
1994-01-01,46066
1995-01-01,46998
1996-01-01,46019
1997-01-01,48121
1998-01-01,48513
1999-01-01,52979
2000-01-01,54113
2001-01-01,46268
2002-01-01,46639
2003-01-01,48329
2004-01-01,49972
2005-01-01,45720
2006-01-01,46788
2007-01-01,48832
2008-01-01,45975
2009-01-01,44404
2010-01-01,47521
2011-01-01,49606
2012-01-01,43318
2013-01-01,37673
2014-01-01,40692
2015-01-01,45786
2016-01-01,46402
2017-01-01,47837
2018-01-01,46159
2019-01-01,47463
2020-01-01,47242
2021-01-01,46637
