DATE,Median Income
1984-01-01,53292
1985-01-01,52491
1986-01-01,51524
1987-01-01,53234
1988-01-01,55553
1989-01-01,55680
1990-01-01,55408
1991-01-01,57484
1992-01-01,57037
1993-01-01,57412
1994-01-01,57663
1995-01-01,58316
1996-01-01,58675
1997-01-01,58579
1998-01-01,60663
1999-01-01,63008
2000-01-01,65869
2001-01-01,66900
2002-01-01,64631
2003-01-01,64936
2004-01-01,62957
2005-01-01,66648
2006-01-01,64854
2007-01-01,64414
2008-01-01,63991
2009-01-01,62780
2010-01-01,65384
2011-01-01,67143
2012-01-01,61707
2013-01-01,67129
2014-01-01,65148
2015-01-01,69158
2016-01-01,67035
2017-01-01,65855
2018-01-01,72911
2019-01-01,77437
2020-01-01,75622
2021-01-01,78109
