DATE,Median Income
1984-01-01,64542
1985-01-01,63578
1986-01-01,72293
1987-01-01,73984
1988-01-01,76455
1989-01-01,79402
1990-01-01,82270
1991-01-01,70096
1992-01-01,74857
1993-01-01,70291
1994-01-01,63922
1995-01-01,69371
1996-01-01,67978
1997-01-01,69226
1998-01-01,74899
1999-01-01,75127
2000-01-01,80346
2001-01-01,78743
2002-01-01,83547
2003-01-01,82055
2004-01-01,81691
2005-01-01,79249
2006-01-01,83477
2007-01-01,88519
2008-01-01,83478
2009-01-01,81181
2010-01-01,82979
2011-01-01,79534
2012-01-01,80177
2013-01-01,80498
2014-01-01,84081
2015-01-01,86541
2016-01-01,86100
2017-01-01,83591
2018-01-01,87769
2019-01-01,92093
2020-01-01,93045
2021-01-01,88841
