DATE,Median Income
1984-01-01,51230
1985-01-01,51653
1986-01-01,51735
1987-01-01,52071
1988-01-01,53910
1989-01-01,55864
1990-01-01,53084
1991-01-01,52240
1992-01-01,52715
1993-01-01,53360
1994-01-01,54616
1995-01-01,56634
1996-01-01,61413
1997-01-01,60517
1998-01-01,59705
1999-01-01,60770
2000-01-01,60453
2001-01-01,58541
2002-01-01,55146
2003-01-01,55049
2004-01-01,57856
2005-01-01,58488
2006-01-01,53609
2007-01-01,56998
2008-01-01,54155
2009-01-01,53047
2010-01-01,54582
2011-01-01,54575
2012-01-01,49125
2013-01-01,53981
2014-01-01,53594
2015-01-01,58091
2016-01-01,60701
2017-01-01,54762
2018-01-01,57583
2019-01-01,64814
2020-01-01,63252
2021-01-01,62891
