DATE,Median Income
1984-01-01,51733
1985-01-01,51061
1986-01-01,50900
1987-01-01,51650
1988-01-01,53197
1989-01-01,53374
1990-01-01,50937
1991-01-01,50370
1992-01-01,51173
1993-01-01,52061
1994-01-01,51286
1995-01-01,51516
1996-01-01,54287
1997-01-01,53461
1998-01-01,50486
1999-01-01,53281
2000-01-01,56791
2001-01-01,54907
2002-01-01,54670
2003-01-01,59673
2004-01-01,56392
2005-01-01,58678
2006-01-01,55293
2007-01-01,61835
2008-01-01,62608
2009-01-01,63388
2010-01-01,63519
2011-01-01,68042
2012-01-01,65928
2013-01-01,68910
2014-01-01,69570
2015-01-01,65659
2016-01-01,67950
2017-01-01,66500
2018-01-01,71756
2019-01-01,74216
2020-01-01,67109
2021-01-01,68882
