DATE,Median Income
1984-01-01,57591
1985-01-01,60618
1986-01-01,59436
1987-01-01,58965
1988-01-01,61252
1989-01-01,61396
1990-01-01,60511
1991-01-01,57953
1992-01-01,59611
1993-01-01,57924
1994-01-01,57773
1995-01-01,61880
1996-01-01,58772
1997-01-01,61013
1998-01-01,64848
1999-01-01,64416
2000-01-01,67781
2001-01-01,64099
2002-01-01,64462
2003-01-01,64265
2004-01-01,61906
2005-01-01,61474
2006-01-01,61830
2007-01-01,64315
2008-01-01,59205
2009-01-01,58077
2010-01-01,57143
2011-01-01,53902
2012-01-01,52461
2013-01-01,59120
2014-01-01,56870
2015-01-01,60955
2016-01-01,60951
2017-01-01,67076
2018-01-01,66500
2019-01-01,68527
2020-01-01,63198
2021-01-01,62689
