DATE,Median Income
1984-01-01,50582
1985-01-01,48246
1986-01-01,51988
1987-01-01,57308
1988-01-01,56379
1989-01-01,50347
1990-01-01,57935
1991-01-01,53426
1992-01-01,52348
1993-01-01,48237
1994-01-01,54130
1995-01-01,51484
1996-01-01,59798
1997-01-01,57852
1998-01-01,55422
1999-01-01,59478
2000-01-01,59274
2001-01-01,57888
2002-01-01,57104
2003-01-01,56821
2004-01-01,55631
2005-01-01,55949
2006-01-01,53367
2007-01-01,57915
2008-01-01,53177
2009-01-01,52028
2010-01-01,51927
2011-01-01,48392
2012-01-01,52492
2013-01-01,50749
2014-01-01,51469
2015-01-01,53017
2016-01-01,61347
2017-01-01,60278
2018-01-01,61980
2019-01-01,65735
2020-01-01,63159
2021-01-01,62542
