DATE,Median Income
1984-01-01,48341
1985-01-01,43685
1986-01-01,47090
1987-01-01,48390
1988-01-01,49227
1989-01-01,51003
1990-01-01,49539
1991-01-01,47933
1992-01-01,49845
1993-01-01,51355
1994-01-01,53925
1995-01-01,52382
1996-01-01,50933
1997-01-01,50139
1998-01-01,54621
1999-01-01,58444
2000-01-01,57547
2001-01-01,60856
2002-01-01,57197
2003-01-01,58362
2004-01-01,59105
2005-01-01,60011
2006-01-01,61193
2007-01-01,60804
2008-01-01,65091
2009-01-01,58009
2010-01-01,56478
2011-01-01,57011
2012-01-01,58420
2013-01-01,62224
2014-01-01,60776
2015-01-01,62972
2016-01-01,64863
2017-01-01,62905
2018-01-01,64158
2019-01-01,68095
2020-01-01,73467
2021-01-01,73893
