DATE,Median Income
1984-01-01,16782
1985-01-01,17778
1986-01-01,18256
1987-01-01,21179
1988-01-01,20856
1989-01-01,22611
1990-01-01,22592
1991-01-01,24453
1992-01-01,24318
1993-01-01,25102
1994-01-01,28639
1995-01-01,29015
1996-01-01,30790
1997-01-01,30636
1998-01-01,34091
1999-01-01,36522
2000-01-01,34096
2001-01-01,35783
2002-01-01,37030
2003-01-01,37523
2004-01-01,38072
2005-01-01,39406
2006-01-01,40693
2007-01-01,41195
2008-01-01,39702
2009-01-01,40517
2010-01-01,38591
2011-01-01,42279
2012-01-01,42995
2013-01-01,43361
2014-01-01,43716
2015-01-01,47330
2016-01-01,51344
2017-01-01,55306
2018-01-01,56060
2019-01-01,56627
2020-01-01,54975
2021-01-01,62166
