DATE,Median Income
1984-01-01,57344
1985-01-01,57172
1986-01-01,57181
1987-01-01,56558
1988-01-01,55120
1989-01-01,54764
1990-01-01,56912
1991-01-01,53952
1992-01-01,53060
1993-01-01,53188
1994-01-01,55778
1995-01-01,56740
1996-01-01,57050
1997-01-01,59225
1998-01-01,59613
1999-01-01,63109
2000-01-01,60913
2001-01-01,62680
2002-01-01,60634
2003-01-01,57991
2004-01-01,59522
2005-01-01,57607
2006-01-01,58337
2007-01-01,60325
2008-01-01,58645
2009-01-01,60097
2010-01-01,58861
2011-01-01,59213
2012-01-01,61388
2013-01-01,59886
2014-01-01,61717
2015-01-01,64582
2016-01-01,65649
2017-01-01,66417
2018-01-01,64506
2019-01-01,71474
2020-01-01,71599
2021-01-01,67404
