DATE,Median Income
1984-01-01,57427
1985-01-01,60772
1986-01-01,62195
1987-01-01,60694
1988-01-01,58101
1989-01-01,64985
1990-01-01,60771
1991-01-01,54502
1992-01-01,65015
1993-01-01,66258
1994-01-01,64776
1995-01-01,64605
1996-01-01,63892
1997-01-01,72227
1998-01-01,73801
1999-01-01,75118
2000-01-01,75020
2001-01-01,72624
2002-01-01,72281
2003-01-01,72764
2004-01-01,73144
2005-01-01,76230
2006-01-01,73587
2007-01-01,70118
2008-01-01,78888
2009-01-01,74042
2010-01-01,70611
2011-01-01,66995
2012-01-01,68972
2013-01-01,71118
2014-01-01,72609
2015-01-01,75772
2016-01-01,76188
2017-01-01,77135
2018-01-01,83152
2019-01-01,89574
2020-01-01,87915
2021-01-01,87649
