DATE,Median Income
1984-01-01,25017
1985-01-01,24000
1986-01-01,26881
1987-01-01,27319
1988-01-01,32327
1989-01-01,31961
1990-01-01,32112
1991-01-01,33970
1992-01-01,33900
1993-01-01,35655
1994-01-01,33533
1995-01-01,35568
1996-01-01,36676
1997-01-01,44562
1998-01-01,47421
1999-01-01,45473
2000-01-01,42525
2001-01-01,42490
2002-01-01,45183
2003-01-01,47508
2004-01-01,49922
2005-01-01,50646
2006-01-01,54723
2007-01-01,58080
2008-01-01,56631
2009-01-01,60392
2010-01-01,56163
2011-01-01,56850
2012-01-01,62187
2013-01-01,63922
2014-01-01,59068
2015-01-01,67243
2016-01-01,70310
2017-01-01,71540
2018-01-01,79726
2019-01-01,82454
2020-01-01,81358
2021-01-01,87648
