DATE,Median Income
1984-01-01,41950
1985-01-01,38487
1986-01-01,38963
1987-01-01,39367
1988-01-01,42733
1989-01-01,45860
1990-01-01,44632
1991-01-01,45030
1992-01-01,38478
1993-01-01,41513
1994-01-01,42737
1995-01-01,44062
1996-01-01,43552
1997-01-01,46414
1998-01-01,44488
1999-01-01,47790
2000-01-01,46402
2001-01-01,45519
2002-01-01,44339
2003-01-01,48381
2004-01-01,47985
2005-01-01,50685
2006-01-01,51753
2007-01-01,55136
2008-01-01,47928
2009-01-01,51255
2010-01-01,53271
2011-01-01,50489
2012-01-01,51489
2013-01-01,50174
2014-01-01,45309
2015-01-01,48973
2016-01-01,50077
2017-01-01,51900
2018-01-01,54566
2019-01-01,56916
2020-01-01,54396
2021-01-01,46836
