DATE,Median Income
1984-01-01,51663
1985-01-01,55976
1986-01-01,62548
1987-01-01,60328
1988-01-01,65304
1989-01-01,61612
1990-01-01,61919
1991-01-01,60566
1992-01-01,63225
1993-01-01,58815
1994-01-01,64181
1995-01-01,72530
1996-01-01,69003
1997-01-01,66857
1998-01-01,68850
1999-01-01,74494
2000-01-01,71135
2001-01-01,69562
2002-01-01,69324
2003-01-01,68325
2004-01-01,65755
2005-01-01,62096
2006-01-01,69632
2007-01-01,67168
2008-01-01,64587
2009-01-01,64859
2010-01-01,62703
2011-01-01,62848
2012-01-01,62751
2013-01-01,60259
2014-01-01,66534
2015-01-01,63384
2016-01-01,67535
2017-01-01,70164
2018-01-01,67574
2019-01-01,71380
2020-01-01,70553
2021-01-01,69943
