DATE,Median Income
1984-01-01,59317
1985-01-01,53170
1986-01-01,55754
1987-01-01,63122
1988-01-01,58335
1989-01-01,62454
1990-01-01,59396
1991-01-01,56514
1992-01-01,57342
1993-01-01,54512
1994-01-01,60104
1995-01-01,55837
1996-01-01,53395
1997-01-01,56436
1998-01-01,58725
1999-01-01,60760
2000-01-01,62523
2001-01-01,60930
2002-01-01,60051
2003-01-01,62840
2004-01-01,65274
2005-01-01,62191
2006-01-01,63367
2007-01-01,63850
2008-01-01,67283
2009-01-01,66420
2010-01-01,65007
2011-01-01,65807
2012-01-01,67992
2013-01-01,78566
2014-01-01,63796
2015-01-01,69673
2016-01-01,65291
2017-01-01,65803
2018-01-01,67477
2019-01-01,69027
2020-01-01,68506
2021-01-01,71052
