Median Income,State,Year
53712,arkansas,2018
46159,mississippi,2018
74161,alaska,2018
78801,colorado,2018
83243,virginia,2018
66500,ohio,2018
74626,oregon,2018
58728,idaho,2018
75684,illinois,2018
68168,united states,2018
66600,missouri,2018
68987,kansas,2018
87769,new hampshire,2018
58663,maine,2018
64158,south dakota,2018
69619,pennsylvania,2018
72586,new york,2018
83152,utah,2018
74144,iowa,2018
64621,indiana,2018
80033,new jersey,2018
86433,hawaii,2018
58732,oklahoma,2018
93031,maryland,2018
77488,minnesota,2018
52096,new mexico,2018
70145,delaware,2018
71756,north dakota,2018
72911,nebraska,2018
57583,north carolina,2018
49973,louisiana,2018
67477,wyoming,2018
60229,georgia,2018
57679,montana,2018
61864,nevada,2018
76055,california,2018
93163,massachusetts,2018
49936,alabama,2018
67201,arizona,2018
79726,washington,2018
78561,connecticut,2018
67183,rhode island,2018
56060,tennessee,2018
54566,west virginia,2018
64506,texas,2018
61980,south carolina,2018
58863,kentucky,2018
75599,vermont,2018
67574,wisconsin,2018
58959,florida,2018
65222,michigan,2018
