DATE,Median Income,State
2000-01-01,46853,arkansas
2001-01-01,51143,arkansas
2002-01-01,48911,arkansas
2003-01-01,47257,arkansas
2004-01-01,50301,arkansas
2005-01-01,50981,arkansas
2006-01-01,49918,arkansas
2007-01-01,53438,arkansas
2008-01-01,49936,arkansas
2009-01-01,46252,arkansas
2010-01-01,48053,arkansas
2011-01-01,49862,arkansas
2012-01-01,46128,arkansas
2013-01-01,45872,arkansas
2014-01-01,51461,arkansas
2015-01-01,48944,arkansas
2016-01-01,51830,arkansas
2017-01-01,54988,arkansas
2018-01-01,53712,arkansas
2019-01-01,57799,arkansas
2000-01-01,54113,mississippi
2001-01-01,46268,mississippi
2002-01-01,46639,mississippi
2003-01-01,48329,mississippi
2004-01-01,49972,mississippi
2005-01-01,45720,mississippi
2006-01-01,46788,mississippi
2007-01-01,48832,mississippi
2008-01-01,45975,mississippi
2009-01-01,44404,mississippi
2010-01-01,47521,mississippi
2011-01-01,49606,mississippi
2012-01-01,43318,mississippi
2013-01-01,37673,mississippi
2014-01-01,40692,mississippi
2015-01-01,45786,mississippi
2016-01-01,46402,mississippi
2017-01-01,47837,mississippi
2018-01-01,46159,mississippi
2019-01-01,47463,mississippi
2000-01-01,83377,alaska
2001-01-01,87996,alaska
2002-01-01,79700,alaska
2003-01-01,76547,alaska
2004-01-01,79172,alaska
2005-01-01,77729,alaska
2006-01-01,75999,alaska
2007-01-01,82515,alaska
2008-01-01,80720,alaska
2009-01-01,77982,alaska
2010-01-01,72039,alaska
2011-01-01,69334,alaska
2012-01-01,75246,alaska
2013-01-01,84427,alaska
2014-01-01,77473,alaska
2015-01-01,85898,alaska
2016-01-01,85494,alaska
2017-01-01,86196,alaska
2018-01-01,74161,alaska
2019-01-01,83079,alaska
2000-01-01,76108,colorado
2001-01-01,75776,colorado
2002-01-01,72935,colorado
2003-01-01,73746,colorado
2004-01-01,73166,colorado
2005-01-01,70161,colorado
2006-01-01,75027,colorado
2007-01-01,80089,colorado
2008-01-01,76877,colorado
2009-01-01,70800,colorado
2010-01-01,75009,colorado
2011-01-01,70781,colorado
2012-01-01,67688,colorado
2013-01-01,79115,colorado
2014-01-01,69811,colorado
2015-01-01,76159,colorado
2016-01-01,79671,colorado
2017-01-01,82877,colorado
2018-01-01,78801,colorado
2019-01-01,76832,colorado
2000-01-01,74409,virginia
2001-01-01,77071,virginia
2002-01-01,74954,virginia
2003-01-01,80897,virginia
2004-01-01,73532,virginia
2005-01-01,72198,virginia
2006-01-01,76943,virginia
2007-01-01,77496,virginia
2008-01-01,78192,virginia
2009-01-01,76586,virginia
2010-01-01,75176,virginia
2011-01-01,75594,virginia
2012-01-01,76409,virginia
2013-01-01,76779,virginia
2014-01-01,75785,virginia
2015-01-01,70315,virginia
2016-01-01,75025,virginia
2017-01-01,78265,virginia
2018-01-01,83243,virginia
2019-01-01,86172,virginia
2000-01-01,67781,ohio
2001-01-01,64099,ohio
2002-01-01,64462,ohio
2003-01-01,64265,ohio
2004-01-01,61906,ohio
2005-01-01,61474,ohio
2006-01-01,61830,ohio
2007-01-01,64315,ohio
2008-01-01,59205,ohio
2009-01-01,58077,ohio
2010-01-01,57143,ohio
2011-01-01,53902,ohio
2012-01-01,52461,ohio
2013-01-01,59120,ohio
2014-01-01,56870,ohio
2015-01-01,60955,ohio
2016-01-01,60951,ohio
2017-01-01,67076,ohio
2018-01-01,66500,ohio
2019-01-01,68527,ohio
2000-01-01,67051,oregon
2001-01-01,63314,oregon
2002-01-01,63130,oregon
2003-01-01,61486,oregon
2004-01-01,58943,oregon
2005-01-01,61413,oregon
2006-01-01,63435,oregon
2007-01-01,65805,oregon
2008-01-01,65252,oregon
2009-01-01,62151,oregon
2010-01-01,63016,oregon
2011-01-01,62205,oregon
2012-01-01,61210,oregon
2013-01-01,57082,oregon
2014-01-01,67445,oregon
2015-01-01,69569,oregon
2016-01-01,66765,oregon
2017-01-01,69077,oregon
2018-01-01,74626,oregon
2019-01-01,78860,oregon
2000-01-01,37611,idaho
2001-01-01,38241,idaho
2002-01-01,37715,idaho
2003-01-01,42372,idaho
2004-01-01,44358,idaho
2005-01-01,44176,idaho
2006-01-01,46213,idaho
2007-01-01,49184,idaho
2008-01-01,47420,idaho
2009-01-01,46778,idaho
2010-01-01,47050,idaho
2011-01-01,47459,idaho
2012-01-01,47922,idaho
2013-01-01,48467,idaho
2014-01-01,53438,idaho
2015-01-01,51624,idaho
2016-01-01,56564,idaho
2017-01-01,59497,idaho
2018-01-01,58728,idaho
2019-01-01,65988,idaho
2000-01-01,72675,illinois
2001-01-01,70827,illinois
2002-01-01,64501,illinois
2003-01-01,66677,illinois
2004-01-01,66251,illinois
2005-01-01,67308,illinois
2006-01-01,65563,illinois
2007-01-01,68778,illinois
2008-01-01,67178,illinois
2009-01-01,66926,illinois
2010-01-01,63173,illinois
2011-01-01,61132,illinois
2012-01-01,61166,illinois
2013-01-01,62835,illinois
2014-01-01,62910,illinois
2015-01-01,69088,illinois
2016-01-01,69307,illinois
2017-01-01,72913,illinois
2018-01-01,75684,illinois
2019-01-01,78845,illinois
2000-01-01,66248,unitedstates
2001-01-01,64779,unitedstates
2002-01-01,64047,unitedstates
2003-01-01,63967,unitedstates
2004-01-01,63745,unitedstates
2005-01-01,64427,unitedstates
2006-01-01,64930,unitedstates
2007-01-01,65801,unitedstates
2008-01-01,63455,unitedstates
2009-01-01,63011,unitedstates
2010-01-01,61364,unitedstates
2011-01-01,60428,unitedstates
2012-01-01,60313,unitedstates
2013-01-01,62425,unitedstates
2014-01-01,61468,unitedstates
2015-01-01,64631,unitedstates
2016-01-01,66657,unitedstates
2017-01-01,67571,unitedstates
2018-01-01,68168,unitedstates
2019-01-01,72808,unitedstates
2000-01-01,71149,missouri
2001-01-01,63415,missouri
2002-01-01,64601,missouri
2003-01-01,64623,missouri
2004-01-01,60586,missouri
2005-01-01,59782,missouri
