state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,84016,165058.5833,138008106,69.6763,136.8867
Maine,51710.8333,101597.9167,81408200,66.7732,131.1914
Massachusetts,110234.4167,231829,181517603,65.2484,137.2209
New Hampshire,18094.9167,36266.4167,28129262,64.6357,129.545
New York,720034.8333,1438567.917,1361453901,78.8663,157.5681
Rhode Island,33422.25,74256,59272157,66.5178,147.7862
Vermont,19649.25,40830.9167,31996215,65.3023,135.6974
Delaware,13462.6667,32217.5,31126762,80.512,192.6733
District of Columbia,36194.4167,80803.0833,76672281,79.0732,176.5288
Maryland,101048.0833,219180.4167,199458863,75.8351,164.4917
New Jersey,152358.1667,344676.8333,303820932,73.4555,166.1769
Pennsylvania,352491.0833,777112.3333,655726257,70.3165,155.0219
Virginia,150452.3333,336079.5833,262836759,65.1723,145.5814
West Virginia,96096.5,226896.5,185496453,68.1281,160.8595
Alabama,156104.5833,396057.1667,343735258,72.3244,183.4962
Florida,415787.9167,882341,771225218,72.8389,154.571
Georgia,229500.3333,559467.9167,488888524,72.8205,177.5192
Kentucky,167971.25,403478.75,336743372,69.55,167.064
Mississippi,108992.6667,275856.9167,226107873,68.3047,172.877
North Carolina,209232,488246.6667,403129126,68.8056,160.5591
South Carolina,121944.9167,295335.0833,249259466,70.3324,170.3361
Tennessee,215335.5,496031.4167,415123716,69.7408,160.65
Illinois,356148.9167,816570.9167,777031218,79.2982,181.8133
Indiana,127875.1667,300314.1667,268121224,74.4002,174.7285
Michigan,269430.0833,602857,456597027,63.1157,141.2231
Minnesota,91106.75,196073.0833,164695571,69.9975,150.6434
Ohio,279174.3333,609717,520402338,71.1262,155.3397
Wisconsin,76632.9167,193020.9167,128811293,55.612,140.0739
Arkansas,98764.3333,246571.5,206236378,69.7013,174.0139
Louisiana,191890.75,499850.5833,448096963,74.7052,194.5973
New Mexico,63537.0833,169353.6667,139569533,68.6775,183.0552
Oklahoma,107098.4167,253287.0833,208396356,68.564,162.1533
Texas,489302.8333,1332784.583,1215160306,75.9788,206.9544
Colorado,69951.0833,155948.1667,126585277,67.6428,150.8021
Iowa,52548.3333,123321.8333,100182582,67.6972,158.8737
Kansas,53345.6667,116511.1667,82700978,59.151,129.1904
Missouri,182254.3333,423319.9167,358044751,70.4835,163.7111
Montana,25279.6667,59465.6667,51194113,71.7418,168.7592
Nebraska,35129.75,82413.9167,60888562,61.5678,144.4373
North Dakota,13603.6667,31824.0833,25295459,66.2377,154.9549
South Dakota,16425,42887.3333,36786857,71.4796,186.6406
Utah,32616,81916.5,68263054,69.4437,174.411
Wyoming,8952,22447.25,18591596,69.0196,173.0674
Alaska,13208.3333,37524.3333,45834562,101.7885,289.177
Arizona,95567.5,259002.5833,240245624,77.2983,209.4903
California,672007,1830676.583,1639332967,74.6233,203.2882
Hawaii,54211.5833,118041.25,166259882,117.3741,255.5725
Idaho,23174.0833,58190.8333,46163882,66.1099,166.004
Nevada,28291.3333,60904.9167,56642985,77.5019,166.8443
Oregon,114367.75,234386.9167,197738872,70.3036,144.0812
Washington,133481.1667,295060.9167,241495700,68.205,150.7676
