﻿state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,197761,340447,584718600,246.39,143.13
Maine,78862,144433,203630527,215.18,117.49
Massachusetts,416128,703516,1131148466,226.52,133.99
New Hampshire,36685,70412,92889191,211.01,109.94
New York,1512387,2661700,4339617966,239.12,135.87
Rhode Island,84445,141232,244223564,241.01,144.1
Vermont,38423,68277,100248674,217.42,122.36
Delaware,58622,119787,178138585,253.23,123.93
District of Columbia,60156,101230,172078913,238.38,141.66
Maryland,308167,570444,878649666,237.6,128.36
New Jersey,325992,649128,953558696,243.76,122.42
Pennsylvania,872822,1627640,2513696584,240,128.7
Virginia,318522,654882,1002380166,262.25,127.55
West Virginia,148108,282662,397899950,223.88,117.31
Alabama,315551,667043,1032064886,272.56,128.94
Florida,1429884,2649741,4035386245,235.18,126.91
Georgia,614750,1332536,2115101241,286.72,132.27
Kentucky,226832,502241,739297747,271.6,122.67
Mississippi,195903,420873,605780127,257.69,119.95
North Carolina,590075,1228424,1863656810,263.2,126.43
South Carolina,259707,558722,854652751,274.24,127.47
Tennessee,398958,832130,1307248122,273.05,130.91
Illinois,816044,1639396,2646035880,270.21,134.5
Indiana,238303,530384,819644875,286.63,128.78
Iowa,142502,295682,429315218,251.06,121
Michigan,631699,1181972,1701430344,224.45,119.96
Minnesota,193684,381779,509464759,219.2,111.2
Ohio,632171,1273257,2020497444,266.34,132.24
Wisconsin,291721,572323,778373061,222.35,113.34
Arizona,345106,736883,1146712214,276.9,129.68
Arkansas,159231,354917,460333605,240.92,108.08
Louisiana,348643,749560,1214657938,290.33,135.04
New Mexico,204245,415161,632907856,258.23,127.04
Oklahoma,247673,531728,819546294,275.75,128.44
Texas,1364935,3187238,4767112796,291.05,124.64
Utah,67803,160829,234552832,288.28,121.53
Colorado,207748,415289,639000457,256.32,128.22
Kansas,87158,185329,265322548,253.68,119.3
Missouri,299268,639338,996212141,277.4,129.85
Montana,48974,99368,146944184,250.04,123.23
Nebraska,67643,148768,221960791,273.45,124.33
North Dakota,21864,45312,68485818,261.03,125.95
South Dakota,35168,75020,121995672,289.08,135.51
Wyoming,10912,24309,36277115,277.04,124.36
Alaska,35493,78932,171091672,401.7,180.63
California,1803402,3529470,5977281299,276.2,141.13
Hawaii,74820,144922,448431408,499.46,257.86
Idaho,61390,135922,192918233,261.88,118.28
Nevada,206100,391569,587953503,237.73,125.13
Oregon,324903,554927,884189650,226.78,132.78
Washington,482025,833128,1192380309,206.14,119.27
