Median Income,State,Year
51143,Arkansas,2001
46268,mississippi,2001
87996,alaska,2001
75776,colorado,2001
77071,virginia,2001
64099,ohio,2001
63314,oregon,2001
38241,idaho,2001
70827,illinois,2001
64779,united states,2001
63415,missouri,2001
63532,kansas,2001
78743,new hampshire,2001
36612,maine,2001
60856,south dakota,2001
66729,pennsylvania,2001
64604,new york,2001
72624,utah,2001
62858,iowa,2001
61942,indiana,2001
79418,new jersey,2001
72773,hawaii,2001
54625,oklahoma,2001
82116,maryland,2001
80814,minnesota,2001
50813,new mexico,2001
76091,delaware,2001
54907,north dakota,2001
66900,nebraska,2001
58541,north carolina,2001
33322,louisiana,2001
60930,wyoming,2001
65313,georgia,2001
32126,montana,2001
45403,nevada,2001
72501,california,2001
80157,massachusetts,2001
35160,alabama,2001
65509,arizona,2001
42490,washington,2001
81836,connecticut,2001
70140,rhode island,2001
35783,tennessee,2001
45519,west virginia,2001
62680,texas,2001
57888,south carolina,2001
58963,kentucky,2001
62579,vermont,2001
69562,wisconsin,2001
55871,florida,2001
69103,michigan,2001
