DATE,Median Income,State,Year
2013-01-01,45872,arkansas,2013
2013-01-01,37673,mississippi,2013
2013-01-01,84427,alaska,2013
2013-01-01,79115,colorado,2013
2013-01-01,76779,virginia,2013
2013-01-01,59120,ohio,2013
2013-01-01,57082,oregon,2013
2013-01-01,48467,idaho,2013
2013-01-01,62835,illinois,2013
2013-01-01,62425,united states,2013
2013-01-01,53941,missouri,2013
2013-01-01,55709,kansas,2013
2013-01-01,80498,new hampshire,2013
2013-01-01,54957,maine,2013
2013-01-01,62224,south dakota,2013
2013-01-01,64255,pennsylvania,2013
2013-01-01,58209,new york,2013
2013-01-01,71118,utah,2013
2013-01-01,70080,iowa,2013
2013-01-01,57613,indiana,2013
2013-01-01,74271,new jersey,2013
2013-01-01,74831,hawaii,2013
2013-01-01,53777,oklahoma,2013
2013-01-01,80794,maryland,2013
2013-01-01,74935,minnesota,2013
2013-01-01,46792,new mexico,2013
2013-01-01,63014,delaware,2013
2013-01-01,68910,north dakota,2013
2013-01-01,67129,nebraska,2013
2013-01-01,53981,north carolina,2013
2013-01-01,46425,louisiana,2013
2013-01-01,78566,wyoming,2013
2013-01-01,54744,georgia,2013
2013-01-01,43201,montana,2013
2013-01-01,51846,nevada,2013
2013-01-01,70823,california,2013
2013-01-01,72844,massachusetts,2013
2013-01-01,47320,alabama,2013
2013-01-01,61290,arizona,2013
2013-01-01,63922,washington,2013
2013-01-01,80721,connecticut,2013
2013-01-01,65614,rhode island,2013
2013-01-01,43361,tennessee,2013
2013-01-01,50174,west virginia,2013
2013-01-01,59886,texas,2013
2013-01-01,50749,south carolina,2013
2013-01-01,52282,kentucky,2013
2013-01-01,76320,vermont,2013
2013-01-01,60259,wisconsin,2013
2013-01-01,56538,florida,2013
2013-01-01,65898,michigan,2013
