Median Income,State,Year
48944,arkansas,2015
45786,mississippi,2015
85898,alaska,2015
76159,colorado,2015
70315,virginia,2015
60955,ohio,2015
69569,oregon,2015
51624,idaho,2015
69088,illinois,2015
64631,united states,2015
67696,missouri,2015
62743,kansas,2015
86541,new hampshire,2015
50756,maine,2015
62972,south dakota,2015
69061,pennsylvania,2015
66334,new york,2015
75772,utah,2015
69593,iowa,2015
59447,indiana,2015
78173,new jersey,2015
73778,hawaii,2015
53837,oklahoma,2015
84162,maryland,2015
78599,minnesota,2015
51598,new mexico,2015
66049,delaware,2015
65659,north dakota,2015
69158,nebraska,2015
58091,north carolina,2015
45922,louisiana,2015
69673,wyoming,2015
58058,georgia,2015
51395,montana,2015
52008,nevada,2015
72774,california,2015
77605,massachusetts,2015
44509,alabama,2015
59751,arizona,2015
67243,washington,2015
83355,connecticut,2015
63699,rhode island,2015
47330,tennessee,2015
48973,west virginia,2015
64582,texas,2015
53017,south carolina,2015
48474,kentucky,2015
68037,vermont,2015
63384,wisconsin,2015
55836,florida,2015
61986,michigan,2015
