DATE,Median Income,State,Year
2016-01-01,51830,arkansas,2016
2016-01-01,46402,mississippi,2016
2016-01-01,85494,alaska,2016
2016-01-01,79671,colorado,2016
2016-01-01,75025,virginia,2016
2016-01-01,60951,ohio,2016
2016-01-01,66765,oregon,2016
2016-01-01,56564,idaho,2016
2016-01-01,69307,illinois,2016
2016-01-01,66657,united states,2016
2016-01-01,62115,missouri,2016
2016-01-01,64140,kansas,2016
2016-01-01,86100,new hampshire,2016
2016-01-01,50856,maine,2016
2016-01-01,64863,south dakota,2016
2016-01-01,68847,pennsylvania,2016
2016-01-01,69364,new york,2016
2016-01-01,76188,utah,2016
2016-01-01,66719,iowa,2016
2016-01-01,63332,indiana,2016
2016-01-01,77303,new jersey,2016
2016-01-01,81440,hawaii,2016
2016-01-01,57516,oklahoma,2016
2016-01-01,83277,maryland,2016
2016-01-01,79278,minnesota,2016
2016-01-01,54703,new mexico,2016
2016-01-01,65536,delaware,2016
2016-01-01,67950,north dakota,2016
2016-01-01,67035,nebraska,2016
2016-01-01,60701,north carolina,2016
2016-01-01,42196,louisiana,2016
2016-01-01,65291,wyoming,2016
2016-01-01,60434,georgia,2016
2016-01-01,57075,montana,2016
2016-01-01,55431,nevada,2016
2016-01-01,75235,california,2016
2016-01-01,81591,massachusetts,2016
2016-01-01,47221,alabama,2016
2016-01-01,64468,arizona,2016
2016-01-01,70310,washington,2016
2016-01-01,85720,connecticut,2016
2016-01-01,69467,rhode island,2016
2016-01-01,51344,tennessee,2016
2016-01-01,50077,west virginia,2016
2016-01-01,65649,texas,2016
2016-01-01,61347,south carolina,2016
2016-01-01,51223,kentucky,2016
2016-01-01,68687,vermont,2016
2016-01-01,67535,wisconsin,2016
2016-01-01,57779,florida,2016
2016-01-01,64458,michigan,2016
